Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.10589074548320315,0.09763366728134674,0.0509726367199117,0.3676609643959763,0.04218596930823605,0.19020117654612162,0.02856844710010982,0.02577240321905832,0.30233085917338615,0.3215352390434954,0.31554797231673987,0.0661859182148095,0.057918041997347076
collective,0.10589074548320315,1.0,0.053004380628015726,0.1985222934558478,0.20468865724633967,0.30053787430285095,0.0356374858294581,0.26591256280909104,0.13397689838410565,0.020021884121295706,0.19775544543647125,0.13026186723952998,0.131624815962952,0.08018784186002915
event,0.09763366728134674,0.053004380628015726,1.0,0.20980115958899612,0.18349335637800168,0.08393527556614634,0.11047413247187522,0.05296692595732752,0.04885522512417185,0.27467295874178493,0.023297414120069748,0.29194889912688915,0.12526902360726574,0.13956524358073316
kind,0.0509726367199117,0.1985222934558478,0.20980115958899612,1.0,0.1093163764271441,0.27898318945457484,0.10062722597477743,0.23591478376647187,0.44809509940211517,0.14116530741350775,0.4833377716450401,0.12956070631991748,0.015667770068618386,0.025073433314772905
mode,0.3676609643959763,0.20468865724633967,0.18349335637800168,0.1093163764271441,1.0,0.12850782629078938,0.2019157631310858,0.15192177538673632,0.18359077753722736,0.29846258127126213,0.23519340801111757,0.29137848285072143,0.19339388477791994,0.087160798168906
phase,0.04218596930823605,0.30053787430285095,0.08393527556614634,0.27898318945457484,0.12850782629078938,1.0,0.12268786698610419,0.19254244426475275,0.31718127212608316,0.0719932661708999,0.3554878728463492,0.014005923437376899,0.03971765076839678,0.018133153272867467
quality,0.19020117654612162,0.0356374858294581,0.11047413247187522,0.10062722597477743,0.2019157631310858,0.12268786698610419,1.0,0.13113011070901867,0.11391102823109155,0.03535350477992713,0.19136716442960813,0.15519922729476016,0.14716538341955934,0.19493217697833187
relator,0.02856844710010982,0.26591256280909104,0.05296692595732752,0.23591478376647187,0.15192177538673632,0.19254244426475275,0.13113011070901867,1.0,0.2628614613772793,0.16000879465095735,0.17257126811087267,0.05633032407614894,0.196662189004991,0.0935861499618887
role,0.02577240321905832,0.13397689838410565,0.04885522512417185,0.44809509940211517,0.18359077753722736,0.31718127212608316,0.11391102823109155,0.2628614613772793,1.0,0.08382891465682539,0.1394487200092226,0.03894734237027162,0.058139650821578535,0.026272789694035962
roleMixin,0.30233085917338615,0.020021884121295706,0.27467295874178493,0.14116530741350775,0.29846258127126213,0.0719932661708999,0.03535350477992713,0.16000879465095735,0.08382891465682539,1.0,0.01193020481319924,0.31533108281836386,0.19377118602666227,0.09048913946386805
subkind,0.3215352390434954,0.19775544543647125,0.023297414120069748,0.4833377716450401,0.23519340801111757,0.3554878728463492,0.19136716442960813,0.17257126811087267,0.1394487200092226,0.01193020481319924,1.0,0.05967224002753595,0.0582941308385589,0.08295576861561871
type,0.31554797231673987,0.13026186723952998,0.29194889912688915,0.12956070631991748,0.29137848285072143,0.014005923437376899,0.15519922729476016,0.05633032407614894,0.03894734237027162,0.31533108281836386,0.05967224002753595,1.0,0.11464297093904494,0.04422429214596578
none,0.0661859182148095,0.131624815962952,0.12526902360726574,0.015667770068618386,0.19339388477791994,0.03971765076839678,0.14716538341955934,0.196662189004991,0.058139650821578535,0.19377118602666227,0.0582941308385589,0.11464297093904494,1.0,0.08030019149427216
other,0.057918041997347076,0.08018784186002915,0.13956524358073316,0.025073433314772905,0.087160798168906,0.018133153272867467,0.19493217697833187,0.0935861499618887,0.026272789694035962,0.09048913946386805,0.08295576861561871,0.04422429214596578,0.08030019149427216,1.0
