Stereotype,average_quantity,rank,proportion
bringsAbout,0,9,0.0
characterization,4,2,0.14285714285714285
comparative,0,9,0.0
componentOf,2,4,0.07142857142857142
creation,1,6,0.03571428571428571
derivation,1,6,0.03571428571428571
externalDependence,1,6,0.03571428571428571
historicalDependence,0,9,0.0
instantiation,0,9,0.0
manifestation,0,9,0.0
material,3,3,0.10714285714285714
mediation,14,1,0.5
memberOf,0,9,0.0
participation,2,4,0.07142857142857142
participational,0,9,0.0
subCollectionOf,0,9,0.0
subQuantityOf,0,9,0.0
termination,0,9,0.0
triggers,0,9,0.0
