Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
role,-0.012269321053326442,0.1223732549385954,-0.015399975395548679,-0.04381203941904003,0.4676564121188499,0.16166071475324956,0.21270698657342094,0.2822045706899889,0.15303353332657887,0.23214036985141898,1.0,0.09764376191852583,-0.14612494987621186,0.08804229653953244,-0.17484772553124978,-0.24028450624944694,0.0595620492186129,-0.02617148558837882,-0.07103188849707022,0.1552862428461243,0.032783948537109336,-0.2528075357234168,-0.1977233249579934,-0.12571633824268597,0.042063089442424755,0.2530114398431676,0.17410266531664229,-0.20450467601455397,-0.18874122486871478
roleMixin,0.24479888673565242,-0.04200907874058878,-0.04802116835594099,0.2614720342974364,-0.13019117765609353,0.12820140125769489,0.22306543448905689,-0.01284827653863243,0.07301942366508049,0.09815315729895631,0.09764376191852583,1.0,0.15394010417789075,-0.006659975897898221,0.3210101771930095,0.21854295803162027,0.2006450433652376,0.08878403384387012,0.3690353218124361,0.01915608634968278,0.3210101771930095,0.2800329246420056,0.2800329246420056,0.28549458074552414,0.014933160169284025,0.15590025669928087,0.10101600739855728,0.2699667753644223,0.19966870973355696
situation,0.24510874360048296,-0.281104201280092,0.11662586091736776,0.4990108793478454,-0.276426108543611,-0.06203228069323139,-0.0050896901789511785,-0.10082941135808927,0.21998771995688982,-0.11662586091736776,-0.14612494987621186,0.15394010417789075,1.0,-0.08979717540891827,0.07705141285294195,0.7840890257141313,0.17408690728597065,0.007236503841694469,0.07705141285294195,0.07603456964602208,0.07705141285294195,0.1955576340693153,0.06609439200252121,0.16116459280507606,0.19714519108065093,-0.16690806574840486,-0.11790213696500118,0.4103049699311091,0.6645080398892316
subkind,0.22444987770991826,0.22652582159624413,0.08946520258964612,0.03010511292337299,0.4733771396822939,-0.08042154683676604,0.19993173009879234,0.3043452390109524,0.1876910119294785,0.25509672630290986,0.08804229653953244,-0.006659975897898221,-0.08979717540891827,1.0,-0.037640859971174286,-0.03165274317600209,0.09819544189827922,0.14630078313734357,-0.037640859971174286,-0.021943600622554443,-0.037640859971174286,-0.040558663268553695,0.017821230830122076,-0.01211253957778773,0.041987876066470496,0.1494513044276008,0.3002346500163206,-0.05814980230542552,-0.09244580496748357
type,0.21757512627648798,0.037640859971174286,0.06859714574381752,0.3776289518840579,-0.3184869415246672,0.06900655593423542,0.256673837713479,-0.07261590514377234,0.17363230198264756,-0.06859714574381752,-0.17484772553124978,0.3210101771930095,0.07705141285294195,-0.037640859971174286,1.0,0.22360679774997896,0.32476225387496943,0.19588582327562315,0.40285714285714286,-0.2002928259254837,0.5114285714285715,0.48814781397471024,0.8914003559538187,0.7171371656006361,-0.15856829353730298,-0.07985957062499248,0.04320493798938574,0.4355698433493464,0.1572805378751944
bringsAbout,0.2619684159977919,-0.2417118569803796,0.053352306415873504,0.42908233228573256,-0.3528958864159907,-0.017144816662454657,0.11441290555411236,-0.0186859083504976,0.1825604831792394,-0.12374771071459549,-0.24028450624944694,0.21854295803162027,0.7840890257141313,-0.03165274317600209,0.22360679774997896,1.0,0.23346560846560846,0.09066956813927143,0.1561698269999853,-0.026899001451946777,0.1561698269999853,0.2794742987493469,0.1363472993898431,0.31180478223116176,0.13598184489797083,-0.20634920634920634,-0.06900655593423542,0.4827698038025047,0.6848185331469225
characterization,0.3409747636796656,0.15808387074832864,0.02167437448144861,0.2894429289580507,-0.02455718797224677,0.12537147184419967,0.5420545853301388,0.005799075005326841,0.5270496141099275,0.2951049448628003,0.0595620492186129,0.2006450433652376,0.17408690728597065,0.09819544189827922,0.32476225387496943,0.23346560846560846,1.0,0.30600979247004106,0.17302906968748372,0.00504356277224002,0.32476225387496943,0.21864532402155779,0.2723179487813717,0.30066889715147743,0.27784140972727916,0.2931547619047619,0.14951420452417674,0.3134763658918948,0.2579059810995543
componentOf,0.3389979784100244,0.31870728222484507,0.09691756601617013,-0.0004728813761896215,0.08113954556730626,0.06804995496668416,0.14983693497805978,0.19680370720016885,0.1195859449509436,0.11596494893264286,-0.02617148558837882,0.08878403384387012,0.007236503841694469,0.14630078313734357,0.19588582327562315,0.09066956813927143,0.30600979247004106,1.0,0.09391786047461384,0.0584668506249623,-0.059034083726900125,0.17028439362578274,0.22438813073096453,0.15715463927342804,0.3319562856090522,0.1635052322511494,0.35649927611562937,0.07348704390652692,-0.04136006451229722
creation,0.05857791861290061,0.037640859971174286,0.011929938390229133,0.6167939547439613,-0.04026846387093494,-0.062105900340811884,0.16105025111433977,0.025934251837061547,-0.017614871215630913,0.04473726896335925,-0.07103188849707022,0.3690353218124361,0.07705141285294195,-0.037640859971174286,0.40285714285714286,0.1561698269999853,0.17302906968748372,0.09391786047461384,1.0,0.005413319619607667,0.24,0.43054030797769477,0.37293280198067924,0.47809144373375745,0.03580574370197164,0.12245134162498848,0.21911075694617052,0.732904945995008,0.007864026893759719
derivation,-0.07399023242403241,0.12617570357968805,0.0028253999177485414,0.06677805632941777,0.2705008904002297,-0.04576043153224294,0.03814197117937487,0.07616178890200571,-0.03814197117937487,0.31927019070558516,0.1552862428461243,0.01915608634968278,0.07603456964602208,-0.021943600622554443,-0.2002928259254837,-0.026899001451946777,0.00504356277224002,0.0584668506249623,0.005413319619607667,1.0,-0.2002928259254837,-0.14361413797053765,-0.14361413797053765,-0.22645540682891915,0.4918383847491867,0.43626817979876176,0.2601938790610853,-0.04941662111074008,0.10802262109802127
externalDependence,0.16457605705529219,-0.01737270460208044,0.011929938390229133,0.3776289518840579,-0.24893232211123417,-0.12766212847833555,0.4001092176121879,-0.07261590514377234,0.12582050868307795,0.10140447631694763,0.032783948537109336,0.3210101771930095,0.07705141285294195,-0.037640859971174286,0.5114285714285715,0.1561698269999853,0.32476225387496943,-0.059034083726900125,0.24,-0.2002928259254837,1.0,0.31532529598366377,0.48814781397471024,0.4183300132670377,-0.20716180284712166,0.021295885499997995,0.10184021097498067,0.2869022920265156,0.1572805378751944
historicalDependence,0.16695032262727558,0.09893855736722947,0.18863313664357725,0.4482904609608287,-0.37837710638019484,0.11716660671033248,0.12123577758756986,-0.05008856952439738,0.13245142221020847,0.05190576243212528,-0.2528075357234168,0.2800329246420056,0.1955576340693153,-0.040558663268553695,0.48814781397471024,0.2794742987493469,0.21864532402155779,0.17028439362578274,0.43054030797769477,-0.14361413797053765,0.31532529598366377,1.0,0.510939510939511,0.5580809183750252,0.07110816498686841,0.003954824982302079,0.09824718648648242,0.5397211798820181,0.28290342502608684
instantiation,0.16695032262727558,0.09893855736722947,0.06836368710572599,0.34677057111272686,-0.2307556480388457,0.04759893397607257,0.22271065750668118,-0.05008856952439738,0.18318886216976413,-0.00822896233680035,-0.1977233249579934,0.2800329246420056,0.06609439200252121,0.017821230830122076,0.8914003559538187,0.1363472993898431,0.2723179487813717,0.22438813073096453,0.37293280198067924,-0.14361413797053765,0.48814781397471024,0.510939510939511,1.0,0.6849174907329855,-0.1351597945170247,-0.04971779977751185,0.09824718648648242,0.43454474482808636,0.12434398327105292
manifestation,0.14002800840280097,-0.04845015831115092,-0.08733639748854118,0.4633890050582481,-0.26033965402846776,0.21650635094610968,0.2315917782932927,-0.06509445549041193,0.1368496871733093,-0.03742988463794622,-0.12571633824268597,0.28549458074552414,0.16116459280507606,-0.01211253957778773,0.7171371656006361,0.31180478223116176,0.30066889715147743,0.15715463927342804,0.47809144373375745,-0.22645540682891915,0.4183300132670377,0.5580809183750252,0.6849174907329855,1.0,-0.09629111081495541,-0.0890870806374748,0.0,0.5455447255899809,0.23028309323591914
material,0.05143687425385542,0.15499228325771208,-0.001601851186428212,0.09059261261955188,0.20775636728783273,0.10809885867974392,0.14100953254300497,0.1420750616801726,0.1585794103998011,0.3059535766077885,0.042063089442424755,0.014933160169284025,0.19714519108065093,0.041987876066470496,-0.15856829353730298,0.13598184489797083,0.27784140972727916,0.3319562856090522,0.03580574370197164,0.4918383847491867,-0.20716180284712166,0.07110816498686841,-0.1351597945170247,-0.09629111081495541,1.0,0.4136643973298085,0.30387204106040644,0.02801659073402629,0.09925600932673888
mediation,-0.05405697472970309,0.31185145833629335,-0.031122178742592876,0.022048326841212936,0.36426495492166044,0.12537147184419967,0.23023252716011955,0.235345793966181,0.0815895310098998,0.7174773706551322,0.2530114398431676,0.15590025669928087,-0.16690806574840486,0.1494513044276008,-0.07985957062499248,-0.20634920634920634,0.2931547619047619,0.1635052322511494,0.12245134162498848,0.43626817979876176,0.021295885499997995,0.003954824982302079,-0.04971779977751185,-0.0890870806374748,0.4136643973298085,1.0,0.3680349649825889,0.03645074021998777,-0.15972586329461033
memberOf,0.03916799932836848,0.7099298495177581,0.14496531985323055,0.17131207221604824,0.2056123118011848,-0.011180339887498949,0.25277712830820886,0.34174876143851396,-0.09784921095801632,0.2834877366018731,0.17410266531664229,0.10101600739855728,-0.11790213696500118,0.3002346500163206,0.04320493798938574,-0.06900655593423542,0.14951420452417674,0.35649927611562937,0.21911075694617052,0.2601938790610853,0.10184021097498067,0.09824718648648242,0.09824718648648242,0.0,0.30387204106040644,0.3680349649825889,1.0,0.19438547858755884,-0.10617649821617199
participation,0.1425975439821662,0.05814980230542552,0.1497442917202688,0.7446092231301534,-0.2673448002205196,0.028347335475692043,0.14472093468524244,0.03314447440074961,0.16080103853915828,0.05717509320228444,-0.20450467601455397,0.2699667753644223,0.4103049699311091,-0.05814980230542552,0.4355698433493464,0.4827698038025047,0.3134763658918948,0.07348704390652692,0.732904945995008,-0.04941662111074008,0.2869022920265156,0.5397211798820181,0.43454474482808636,0.5455447255899809,0.02801659073402629,0.03645074021998777,0.19438547858755884,1.0,0.33740555226559266
triggers,0.08215073504449678,-0.21039390096047986,0.03529878032354898,0.3734872870971493,-0.3345210842485042,0.023741786762424572,0.029090002403665438,-0.2148588534007055,0.16830644247835005,-0.03529878032354898,-0.18874122486871478,0.19966870973355696,0.6645080398892316,-0.09244580496748357,0.1572805378751944,0.6848185331469225,0.2579059810995543,-0.04136006451229722,0.007864026893759719,0.10802262109802127,0.1572805378751944,0.28290342502608684,0.12434398327105292,0.23028309323591914,0.09925600932673888,-0.15972586329461033,-0.10617649821617199,0.33740555226559266,1.0
