Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
category,1.0,0.044098464638220716,0.17994897222053838,0.14353888130504613,-0.047176855985963106,0.08084520834544431,0.31004410130161736,0.011140612951584302,0.2967775549701694,-0.013976619201595214,-0.012269321053326442,0.24479888673565242,0.24510874360048296,0.22444987770991826,0.21757512627648798,0.2619684159977919,0.3409747636796656,0.3389979784100244,0.05857791861290061,-0.07399023242403241,0.16457605705529219,0.16695032262727558,0.16695032262727558,0.14002800840280097,0.05143687425385542,-0.05405697472970309,0.03916799932836848,0.1425975439821662,0.08215073504449678
collective,0.044098464638220716,1.0,0.14024275000539121,0.0668435558129129,0.1610075851270498,0.013986355971611486,0.0907853264224108,0.39475522365669297,-0.042332483668876944,0.2617461670359241,0.1223732549385954,-0.04200907874058878,-0.281104201280092,0.22652582159624413,0.037640859971174286,-0.2417118569803796,0.15808387074832864,0.31870728222484507,0.037640859971174286,0.12617570357968805,-0.01737270460208044,0.09893855736722947,0.09893855736722947,-0.04845015831115092,0.15499228325771208,0.31185145833629335,0.7099298495177581,0.05814980230542552,-0.21039390096047986
datatype,0.17994897222053838,0.14024275000539121,1.0,0.11720742822443965,0.07337022657482074,-0.03241523095718234,0.04413030895440244,0.03411069143406461,0.1055975249980344,-0.053549190535491904,-0.015399975395548679,-0.04802116835594099,0.11662586091736776,0.08946520258964612,0.06859714574381752,0.053352306415873504,0.02167437448144861,0.09691756601617013,0.011929938390229133,0.0028253999177485414,0.011929938390229133,0.18863313664357725,0.06836368710572599,-0.08733639748854118,-0.001601851186428212,-0.031122178742592876,0.14496531985323055,0.1497442917202688,0.03529878032354898
event,0.14353888130504613,0.0668435558129129,0.11720742822443965,1.0,-0.16579734249822073,-0.07296484549360702,0.24257208593587032,0.1115155971415233,0.13658537928381728,0.08251823422079382,-0.04381203941904003,0.2614720342974364,0.4990108793478454,0.03010511292337299,0.3776289518840579,0.42908233228573256,0.2894429289580507,-0.0004728813761896215,0.6167939547439613,0.06677805632941777,0.3776289518840579,0.4482904609608287,0.34677057111272686,0.4633890050582481,0.09059261261955188,0.022048326841212936,0.17131207221604824,0.7446092231301534,0.3734872870971493
kind,-0.047176855985963106,0.1610075851270498,0.07337022657482074,-0.16579734249822073,1.0,0.004420799098060879,0.09608113360502997,0.3110212013365968,0.08769821590794681,0.2896595403318444,0.4676564121188499,-0.13019117765609353,-0.276426108543611,0.4733771396822939,-0.3184869415246672,-0.3528958864159907,-0.02455718797224677,0.08113954556730626,-0.04026846387093494,0.2705008904002297,-0.24893232211123417,-0.37837710638019484,-0.2307556480388457,-0.26033965402846776,0.20775636728783273,0.36426495492166044,0.2056123118011848,-0.2673448002205196,-0.3345210842485042
mixin,0.08084520834544431,0.013986355971611486,-0.03241523095718234,-0.07296484549360702,0.004420799098060879,1.0,0.08204905771756568,0.07829646125029467,0.09116561968618409,-0.03601692328575815,0.16166071475324956,0.12820140125769489,-0.06203228069323139,-0.08042154683676604,0.06900655593423542,-0.017144816662454657,0.12537147184419967,0.06804995496668416,-0.062105900340811884,-0.04576043153224294,-0.12766212847833555,0.11716660671033248,0.04759893397607257,0.21650635094610968,0.10809885867974392,0.12537147184419967,-0.011180339887498949,0.028347335475692043,0.023741786762424572
mode,0.31004410130161736,0.0907853264224108,0.04413030895440244,0.24257208593587032,0.09608113360502997,0.08204905771756568,1.0,0.12197321115101546,0.2632978723404255,0.20541608096632563,0.21270698657342094,0.22306543448905689,-0.0050896901789511785,0.19993173009879234,0.256673837713479,0.11441290555411236,0.5420545853301388,0.14983693497805978,0.16105025111433977,0.03814197117937487,0.4001092176121879,0.12123577758756986,0.22271065750668118,0.2315917782932927,0.14100953254300497,0.23023252716011955,0.25277712830820886,0.14472093468524244,0.029090002403665438
phase,0.011140612951584302,0.39475522365669297,0.03411069143406461,0.1115155971415233,0.3110212013365968,0.07829646125029467,0.12197321115101546,1.0,0.008222913111304414,0.17163633626346797,0.2822045706899889,-0.01284827653863243,-0.10082941135808927,0.3043452390109524,-0.07261590514377234,-0.0186859083504976,0.005799075005326841,0.19680370720016885,0.025934251837061547,0.07616178890200571,-0.07261590514377234,-0.05008856952439738,-0.05008856952439738,-0.06509445549041193,0.1420750616801726,0.235345793966181,0.34174876143851396,0.03314447440074961,-0.2148588534007055
quality,0.2967775549701694,-0.042332483668876944,0.1055975249980344,0.13658537928381728,0.08769821590794681,0.09116561968618409,0.2632978723404255,0.008222913111304414,1.0,0.19385814290683928,0.15303353332657887,0.07301942366508049,0.21998771995688982,0.1876910119294785,0.17363230198264756,0.1825604831792394,0.5270496141099275,0.1195859449509436,-0.017614871215630913,-0.03814197117937487,0.12582050868307795,0.13245142221020847,0.18318886216976413,0.1368496871733093,0.1585794103998011,0.0815895310098998,-0.09784921095801632,0.16080103853915828,0.16830644247835005
relator,-0.013976619201595214,0.2617461670359241,-0.053549190535491904,0.08251823422079382,0.2896595403318444,-0.03601692328575815,0.20541608096632563,0.17163633626346797,0.19385814290683928,1.0,0.23214036985141898,0.09815315729895631,-0.11662586091736776,0.25509672630290986,-0.06859714574381752,-0.12374771071459549,0.2951049448628003,0.11596494893264286,0.04473726896335925,0.31927019070558516,0.10140447631694763,0.05190576243212528,-0.00822896233680035,-0.03742988463794622,0.3059535766077885,0.7174773706551322,0.2834877366018731,0.05717509320228444,-0.03529878032354898
