Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,77,1,77,11.458333333333332
relator,71,2,148,22.023809523809522
subkind,69,3,217,32.29166666666667
category,66,4,283,42.11309523809524
role,62,5,345,51.33928571428571
mode,46,6,391,58.18452380952381
quality,42,7,433,64.43452380952381
event,41,8,474,70.53571428571429
roleMixin,40,9,514,76.48809523809523
phase,33,10,547,81.39880952380952
collective,26,11,573,85.26785714285714
datatype,20,12,593,88.24404761904762
type,20,13,613,91.22023809523809
situation,17,14,630,93.75
mixin,14,15,644,95.83333333333334
phaseMixin,8,16,652,97.02380952380952
quantity,7,17,659,98.06547619047619
enumeration,5,18,664,98.80952380952381
historicalRole,4,19,668,99.40476190476191
historicalRoleMixin,3,20,671,99.85119047619048
abstract,1,21,672,100.0
