Percentage,Top k Constructs,Coverage
10.0,2,0.4089068825910931
20.0,4,0.5697847858512678
30.0,6,0.7059450245045813
40.0,8,0.8188791817600682
50.0,10,0.9124227572981035
60.0,12,0.9454506712124441
70.0,14,0.9742169188152567
80.0,16,0.9876411676965694
90.0,18,0.9955252503728959
100.0,21,1.0
