Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
abstract,0.010869565217391304,0.0,0,0.10425720702853736,0.0108695652173913,9.591663046625442,92.00000000000001,0.0,0.0,0.0
category,3.2282608695652173,1.0,0,4.16184463769878,17.320950788342092,1.7263511534168743,2.430483387373521,0.0,4.25,4.25
collective,0.7282608695652174,0.0,0,1.7295318611323016,2.991280458671763,3.5061013931442773,13.544589080536609,0.0,1.0,1.0
datatype,0.8478260869565217,0.0,0,2.1633042624788694,4.679885332059245,3.396080373255261,13.234254029153009,0.0,0.0,0.0
enumeration,0.43478260869565216,0.0,0,2.4598058881071787,6.050645007166746,6.8548037510955275,49.6732218946847,0.0,0.0,0.0
event,3.760869565217391,0.0,0,9.499993713378359,90.24988055422835,6.265677955329125,48.65792889577646,0.0,4.0,4.0
historicalRole,0.25,0.0,0,1.807341560547844,3.2664835164835164,8.989811030713868,83.56793222079612,0.0,0.0,0.0
historicalRoleMixin,0.09782608695652174,0.0,0,0.5941062658617295,0.3529622551361681,6.400794968138171,40.65317275202489,0.0,0.0,0.0
kind,9.91304347826087,6.0,0,15.86110882167555,251.57477305303397,4.994643013333248,32.46334784814666,2.0,11.25,9.25
mixin,0.18478260869565216,0.0,0,0.46714818285974735,0.21822742474916393,2.5796355660936685,6.1465092082040815,0.0,0.0,0.0
mode,2.880434782608696,0.5,0,6.710402603837571,45.02950310559005,4.667435199242213,24.612567670824216,0.0,3.0,3.0
phase,2.141304347826087,0.0,0,4.020774409415362,16.166626851409458,2.2211737347085934,4.440764381249139,0.0,3.0,3.0
phaseMixin,0.21739130434782608,0.0,0,0.8873480300969633,0.7873865265169612,5.728862828574238,38.88502044321073,0.0,0.0,0.0
quality,2.630434782608696,0.0,0,5.284681140233696,27.927854753941713,3.2157151851139414,11.031936925448015,0.0,4.0,4.0
quantity,0.11956521739130435,0.0,0,0.4650981535152004,0.2163162924032489,4.441765217550412,21.047219811073123,0.0,0.0,0.0
relator,3.717391304347826,2.0,1,5.11478375888398,26.161012900143334,2.5862102389604384,8.435030481205368,1.0,5.0,4.0
role,4.445652173913044,2.0,0,5.271453561108009,27.788222646918307,1.4562604291785013,1.7304213567241313,0.0,7.0,7.0
roleMixin,2.880434782608696,0.0,0,7.265517522092409,52.787744863831826,4.164606594583163,18.707332696741094,0.0,2.0,2.0
situation,0.7391304347826086,0.0,0,1.9322000511709092,3.733397037744864,3.4905150441834256,14.494199045269385,0.0,0.0,0.0
subkind,10.945652173913043,3.5,0,16.93190247869439,286.6893215480172,2.334693477756187,5.615202773091742,0.75,16.25,15.5
type,0.8369565217391305,0.0,0,2.1548675995789717,4.64345437171524,3.300667174009961,11.738168933799695,0.0,0.0,0.0
