Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,72,1,72,6.593406593406594
none_r,72,2,144,13.186813186813188
relator,63,3,207,18.956043956043956
subkind,61,4,268,24.54212454212454
category,59,5,327,29.945054945054945
role,58,6,385,35.256410256410255
mediation,56,7,441,40.38461538461539
characterization,53,8,494,45.23809523809524
mode,41,9,535,48.99267399267399
quality,40,10,575,52.65567765567766
event,37,11,612,56.043956043956044
roleMixin,35,12,647,59.24908424908425
material,35,13,682,62.45421245421245
phase,32,14,714,65.38461538461539
componentOf,29,15,743,68.04029304029304
derivation,29,16,772,70.6959706959707
participation,27,17,799,73.16849816849816
collective,23,18,822,75.27472527472527
datatype,20,19,842,77.10622710622711
externalDependence,19,20,861,78.84615384615384
other_r,19,21,880,80.58608058608058
memberOf,19,22,899,82.32600732600733
creation,18,23,917,83.97435897435898
type,18,24,935,85.62271062271061
instantiation,16,25,951,87.08791208791209
situation,15,26,966,88.46153846153845
none_c,15,27,981,89.83516483516483
historicalDependence,15,28,996,91.20879120879121
mixin,13,29,1009,92.3992673992674
bringsAbout,11,30,1020,93.4065934065934
manifestation,11,31,1031,94.41391941391942
other_c,9,32,1040,95.23809523809523
triggers,9,33,1049,96.06227106227107
phaseMixin,8,34,1057,96.7948717948718
quantity,7,35,1064,97.43589743589743
comparative,5,36,1069,97.89377289377289
participational,4,37,1073,98.26007326007326
historicalRole,4,38,1077,98.62637362637363
enumeration,4,39,1081,98.992673992674
historicalRoleMixin,3,40,1084,99.26739926739927
termination,3,41,1087,99.54212454212454
subQuantityOf,2,42,1089,99.72527472527473
subCollectionOf,2,43,1091,99.9084249084249
abstract,1,44,1092,100.0
