Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,creation,derivation,externalDependence,material,mediation,participation,none_r,other_r
type,0.2552422209916004,0.4017690321147357,0.32376055954115385,0.24077828064593132,0.05604206430184793,0.1449478319418581,0.019762743483180346,0.17406663677822481,0.38082562648163915,0.014677057361259856,1.0,0.004816167137442979,0.3078401333599453,0.1648586451296618,0.4025522194779479,0.2117238386309588,0.49489767510005533,0.16335308795265743,0.02264148646791925,0.4687042739488848,0.10417613020894657,0.09172246699643766
none_c,0.13680351227802326,0.01081653158279256,0.08708724202628686,0.1619550768923301,0.043719406704785135,0.27124030450452064,0.1518207654977317,0.09635050734633839,0.177985156387739,0.05484289942254226,0.004816167137442979,1.0,0.09881022802425159,0.008726598309286146,0.0759089585472346,0.008374727727174696,0.05250886967807552,0.059095864404318084,0.002497144989234542,0.03324126416377652,0.10804993973429909,0.08564084278571163
characterization,0.38485167127202774,0.3358994340868301,0.012723784282762931,0.574411764704319,0.021579565188197657,0.574085611979278,0.28236821183566563,0.08918099867654582,0.20905111726658726,0.1712000861195211,0.3078401333599453,0.09881022802425159,1.0,0.27133049907690077,0.185476329148566,0.009553543038237952,0.34170269586977486,0.2737174508823673,0.25302838824999685,0.3288466331780244,0.04402602336305859,0.02037503415333152
componentOf,0.3061853873745931,0.003556230491751593,0.1908584244335431,0.16489321398024867,0.19029008636918243,0.1333405886057801,0.20929799434641236,0.05417616678480838,0.06902031631253899,0.21792911721601124,0.1648586451296618,0.008726598309286146,0.27133049907690077,1.0,0.07695549623717901,0.08197067352152207,0.06227881409258363,0.3593671337666575,0.2310186069215114,0.06644296983917095,0.06268854286469197,0.11309645232607007
creation,0.07580639268973097,0.6317124469192864,0.0777389092366212,0.18737025213992864,0.05257645396308074,0.01384442744966269,0.08404610600303565,0.018456521157606796,0.381128789385777,0.03788162198467767,0.4025522194779479,0.0759089585472346,0.185476329148566,0.07695549623717901,1.0,0.0028797076406101695,0.2615819604986969,0.027077600270048397,0.15529618104869072,0.7247633924242244,0.11435260205298714,0.022294727773162416
derivation,0.0886825149790355,0.02592113076884387,0.23174791265297448,0.010213056090027851,0.09269956779250034,0.058174947437404416,0.2932497680988858,0.1930837857426044,0.02221335944890695,0.029122716021704475,0.2117238386309588,0.008374727727174696,0.009553543038237952,0.08197067352152207,0.0028797076406101695,1.0,0.20260890774926169,0.45973608717106795,0.4029064984362077,0.056173905745617536,0.07323733910527007,0.19378639368341502
externalDependence,0.15735091209068527,0.3999187996282766,0.2889937745388875,0.40803572632902574,0.05537265902584887,0.0658519213045094,0.0884770196598031,0.061023004954101574,0.34459042983472143,0.024319587253040367,0.49489767510005533,0.05250886967807552,0.34170269586977486,0.06227881409258363,0.2615819604986969,0.20260890774926169,1.0,0.20736202338045098,0.03285334287064182,0.29221385999525357,0.07941819308511154,0.013582580269472323
material,0.08406044556947355,0.0837216696205472,0.23799699627479093,0.16007081273978754,0.1558453791751251,0.16010575362197738,0.33404266612154065,0.06833685046997454,0.019061149976615347,0.09303729801111364,0.16335308795265743,0.059095864404318084,0.2737174508823673,0.3593671337666575,0.027077600270048397,0.45973608717106795,0.20736202338045098,1.0,0.41902223955083273,0.02504541859313054,0.16132902604151556,0.09510557782326803
mediation,0.06036582074185642,0.04760243403225696,0.33016553842277097,0.21216048705819315,0.31275366120304887,0.09775194603774855,0.7645953931764081,0.3593215452063703,0.148693492908785,0.19993333945697503,0.02264148646791925,0.002497144989234542,0.25302838824999685,0.2310186069215114,0.15529618104869072,0.4029064984362077,0.03285334287064182,0.41902223955083273,1.0,0.03626244583698773,0.08377654845320251,0.02822327743552149
participation,0.17159474500397368,0.7686381727103905,0.2390771892759565,0.145882597222463,0.03028553907457324,0.1839528775381657,0.06464196485475959,0.1913987123450398,0.31339441963511283,0.069625075197064,0.4687042739488848,0.03324126416377652,0.3288466331780244,0.06644296983917095,0.7247633924242244,0.056173905745617536,0.29221385999525357,0.02504541859313054,0.03626244583698773,1.0,0.1506051296668632,0.08073170623032666
none_r,0.15831499889555992,0.21820131849919114,0.06947236105006376,0.0785084031339545,0.02156283406291058,0.018971236804745634,0.0567978210695893,0.10877704066077855,0.12621964514883097,0.02127201953606316,0.10417613020894657,0.10804993973429909,0.04402602336305859,0.06268854286469197,0.11435260205298714,0.07323733910527007,0.07941819308511154,0.16132902604151556,0.08377654845320251,0.1506051296668632,1.0,0.08028767406019564
other_r,0.0999359521370953,0.13066260697861415,0.0239815729804522,0.08286370925597995,0.04236016287612127,0.10167265905153013,0.017282958627610437,0.12379813489435063,0.011738820223629924,0.015348516573419874,0.09172246699643766,0.08564084278571163,0.02037503415333152,0.11309645232607007,0.022294727773162416,0.19378639368341502,0.013582580269472323,0.09510557782326803,0.02822327743552149,0.08073170623032666,0.08028767406019564,1.0
