Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers,none_r,other_r
category,1.0,0.027266028002947678,0.1649730512472139,0.07517637854887468,-0.06677098200805365,0.12236229759866572,0.2986089093888467,-0.0013573132244947578,0.2291561589401306,-0.08552429422078031,-0.04365577565045806,0.2094939389683706,0.22520747107319813,0.19340856012286198,0.1999511219238379,0.08477391496671717,0.04554029577781239,0.24575653798190158,0.27627783120070354,0.34829009797983423,0.0031992179507814066,-0.10594112324237503,0.08552429422078031,0.15499069301995766,0.170415182699606,0.08645190466557012,-0.01003964563746185,-0.13374798196047882,0.02118491691707402,0.09087335444624514,0.04554029577781239,0.0991447914665039,-0.17183321499404483
collective,0.027266028002947678,1.0,0.08788284038402983,0.08848193227433923,0.14972886874533242,0.02628523429897264,0.08143879346968547,0.3909062086544903,-0.011921418673185986,0.27854242613189917,0.10331866903941743,-0.044843750513996264,-0.2954242491264386,0.24195031638899206,0.06238475004023743,-0.08477391496671717,-0.04554029577781239,-0.24575653798190158,0.1779533900215058,0.33305673385347967,0.06238475004023743,0.10594112324237503,-0.02118491691707402,0.19609319724624477,0.10358569928799581,-0.006799588007404392,0.1746898340918362,0.3087586392066373,0.6865482334236951,0.08242001914892001,-0.21922886572109684,0.06677098200805365,0.10749383769033855
datatype,0.1649730512472139,0.08788284038402983,1.0,0.11274493823900865,0.03810003810005715,-0.013274585576108479,0.0,0.011359236684941296,0.12748301895894945,-0.09193060217316933,-0.009133785027086162,-0.030807672065635464,0.17199164696269356,0.07299656430919774,0.04183434004700515,0.09853688107237651,0.07312239510828453,0.10974567044040444,0.004346137619603593,0.1144482906495613,-0.026773977630083295,-0.004346137619603593,-0.04268206529468576,0.2454464128530106,0.006991126899682785,-0.14023057889607235,0.026606625874866993,-0.040188540060762674,0.09193060217316933,0.14591203713417603,0.07312239510828453,0.21166687833365083,-0.04268206529468576
event,0.07517637854887468,0.08848193227433923,0.11274493823900865,1.0,-0.18631885227940492,-0.12519531879339935,0.17155007848855514,0.12866255886641637,0.09566613377789003,0.03329228960244456,-0.0630586249714243,0.2084630199600717,0.5218114722634221,-0.029443319507663792,0.28881958050557577,-0.04870240407791939,0.0736208659555847,0.4340827852889383,0.209411609330949,-0.0043757649710944565,0.5848596505237909,0.09814215720883282,0.31521423134229426,0.3950306108542351,0.2956289691428893,0.3621741218673364,0.05981982311897709,-0.01412976290141486,0.1990453910273813,0.7205424370749083,0.3872266326235299,0.2630383796885717,0.1990453910273813
kind,-0.06677098200805365,0.14972886874533242,0.03810003810005715,-0.18631885227940492,1.0,0.05972810934315529,0.07453559924999299,0.2981423969999719,0.14002314623476178,0.23697872437845263,0.4974431752910861,-0.13047855698605987,-0.2092525327047175,0.4644019617342553,-0.3425800798515744,0.07993916979730781,0.13085598064755344,-0.2907131844979106,-0.041826304469030455,0.11977532643404176,-0.07246886304552536,0.27567337036406436,-0.3253071580104213,-0.402047001039401,-0.28670931383498977,-0.2907131844979106,0.24625530473425383,0.3066780635722658,0.2046634437813909,-0.2939978189474008,-0.22681703312242593,-0.025,0.1163350101494222
mixin,0.12236229759866572,0.02628523429897264,-0.013274585576108479,-0.12519531879339935,0.05972810934315529,1.0,0.10016708449412667,0.1318866612506001,0.11078680707350812,0.0009650653064780237,0.20583157482326028,0.0979642885260697,-0.11901431219412714,-0.05130880537769624,0.01180480411624714,0.14007879222848593,-0.15240771624629626,-0.0728799551244821,0.11156761273764977,0.028104818475896506,-0.14952751880579712,-0.04173139713087663,-0.08010042043767597,0.053714424087614905,0.039044099961877035,0.22102937209883916,0.0979642885260697,0.15225527193006244,-0.0009650653064780237,-0.019928214432484003,-0.045592051868550164,-0.1443429309126253,0.07817028982471992
mode,0.2986089093888467,0.08143879346968547,0.0,0.17155007848855514,0.07453559924999299,0.10016708449412667,1.0,0.1,0.2927700218845599,0.14451832825402,0.16081688022566923,0.22190115272469207,-0.03154401489382559,0.13969968905677813,0.23570226039551584,0.15772007446912795,-0.1950685786602176,0.10734844004467697,0.5356515438674897,0.2295649473717813,0.11785113019775792,0.0765216491239271,0.317940322158844,0.09463204468147678,0.1846372364689991,0.17891406674112828,0.17258978545253828,0.20965696734438366,0.260132990857236,0.0778498944161523,0.03901371573204352,0.0,-0.086710996952412
phase,-0.0013573132244947578,0.3909062086544903,0.011359236684941296,0.12866255886641637,0.2981423969999719,0.1318866612506001,0.1,1.0,0.06953288019758298,0.1430731449714798,0.2398851796699566,-0.03328517290870381,-0.05520202606419478,0.3548372102042165,-0.06187184335382291,-0.05520202606419478,0.11899183298273275,-0.021469688008935395,0.01657969064351754,0.24486927719656673,-0.001473139127471974,0.08799989649251616,-0.1430731449714798,0.009463204468147676,-0.01538643637241659,-0.094824455372798,0.16889143290712674,0.22276052780340763,0.3309469717017058,0.024652466565114894,-0.20092063602002413,-0.007453559924999299,-0.0245681158031834
quality,0.2291561589401306,-0.011921418673185986,0.12748301895894945,0.09566613377789003,0.14002314623476178,0.11078680707350812,0.2927700218845599,0.06953288019758298,1.0,0.18898749909456755,0.19879219318187574,0.04571681857218246,0.16931093539785705,0.18132280586605826,0.1897680288191474,0.2955245417853505,-0.10850944088234964,0.1885704308469207,0.5177638818711321,0.09459147841876452,-0.046004370622823615,-0.05849736165370964,0.1001351674307037,0.04309732901036361,0.19670467935519703,0.11698350802540453,0.09504285966322143,0.08823558269414442,-0.07333843248445905,0.14688252077020003,0.12564251049535222,-0.08365019125713041,-0.1311629657895133
relator,-0.08552429422078031,0.27854242613189917,-0.09193060217316933,0.03329228960244456,0.23697872437845263,0.0009650653064780237,0.14451832825402,0.1430731449714798,0.18898749909456755,1.0,0.1549399112349379,0.06485020689503411,-0.11396720747188956,0.20754462154654565,-0.12773736239270123,-0.1887296955734491,-0.08457295464858736,-0.12307628229440667,0.25877547087515695,0.16440720799190883,0.01192215382331878,0.3457712132206513,0.02756892230576441,0.035557768731229546,-0.09428157544272814,-0.12307628229440667,0.3570324577407922,0.7438471871931117,0.30158730158730157,0.015751031234084015,0.007893475767201487,-0.1163350101494222,0.02756892230576441
