Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.05231734013612969,0.16767519672551182,0.0840566978668947,0.04894728200050768,0.26668107487366893,0.1481846161605411,0.25406555121304,0.08668927434804104,0.13404096669652033,0.19726478788688226,0.2692446258767243,0.11060893640959205,0.28526589645497685,0.032411078169478365,0.07367241373526723
collective,0.05231734013612969,1.0,0.05842455802353573,0.052026799676664896,0.1940976773905926,0.021282656709268936,0.33673843091930544,0.07840917098679955,0.2167256029827828,0.07849573245464826,0.03974743404051124,0.28609120863027915,0.19950089236152024,0.00868582469621902,0.06536216046091643,0.028771618580975447
datatype,0.16767519672551182,0.05842455802353573,1.0,0.09284198423821902,0.04543705105268971,0.07787188355445432,0.0065490678664327845,0.13592285637946014,0.09823168486707513,0.08972948559934592,0.052085078548076286,0.19201016904125315,0.013062704868151344,0.0993993189587929,0.1515192144039474,0.06768657736512448
event,0.0840566978668947,0.052026799676664896,0.09284198423821902,1.0,0.23020153018854703,0.15370011000300424,0.03907658882237223,0.12079180572581653,0.014556645512614404,0.14014382204589465,0.2606296639133591,0.544726754519158,0.08876834352763215,0.35380058288157984,0.02986945101694817,0.015279075348334802
kind,0.04894728200050768,0.1940976773905926,0.04543705105268971,0.23020153018854703,1.0,0.004943764652345385,0.2795790058818759,0.13770465818424574,0.3330746833165721,0.3665154147897872,0.2025173446331405,0.2132627899963697,0.5087667865950912,0.3218346456605679,0.05801287809101818,0.1236353248891466
mode,0.26668107487366893,0.021282656709268936,0.07787188355445432,0.15370011000300424,0.004943764652345385,1.0,0.03601520510921701,0.25793913714778277,0.0849692182402633,0.1197937021267551,0.13110003929191183,0.06751446519433986,0.09173606222738234,0.23185085374159958,0.09411222064721626,0.18527447951948195
phase,0.1481846161605411,0.33673843091930544,0.0065490678664327845,0.03907658882237223,0.2795790058818759,0.03601520510921701,1.0,0.05953887769736796,0.15949940389875444,0.24488965628397275,0.0876043208178304,0.08656745052271415,0.34337941675639555,0.11159124999405702,0.1434157310576306,0.15059249786746245
quality,0.25406555121304,0.07840917098679955,0.13592285637946014,0.12079180572581653,0.13770465818424574,0.25793913714778277,0.05953887769736796,1.0,0.17253627620579393,0.07027679021587453,0.05242416251644629,0.1846154852034053,0.23211820065106584,0.1605283455798214,0.268862780959812,0.11023250802622682
relator,0.08668927434804104,0.2167256029827828,0.09823168486707513,0.014556645512614404,0.3330746833165721,0.0849692182402633,0.15949940389875444,0.17253627620579393,1.0,0.2481629399457939,0.14660877587248525,0.20189615846910228,0.2834561431905542,0.04165465346308361,0.09531997714510945,0.09308902570473551
role,0.13404096669652033,0.07849573245464826,0.08972948559934592,0.14014382204589465,0.3665154147897872,0.1197937021267551,0.24488965628397275,0.07027679021587453,0.2481629399457939,1.0,0.019554719266285887,0.21505143284034647,0.08012290987849356,0.21354955171974438,0.04455085924874022,0.0689494168243738
roleMixin,0.19726478788688226,0.03974743404051124,0.052085078548076286,0.2606296639133591,0.2025173446331405,0.13110003929191183,0.0876043208178304,0.05242416251644629,0.14660877587248525,0.019554719266285887,1.0,0.19232705101772513,0.10679877157651858,0.354571471479265,0.06007728910764052,0.13201653514518094
situation,0.2692446258767243,0.28609120863027915,0.19201016904125315,0.544726754519158,0.2132627899963697,0.06751446519433986,0.08656745052271415,0.1846154852034053,0.20189615846910228,0.21505143284034647,0.19232705101772513,1.0,0.08589170451962391,0.10095962687878024,0.11723139904636327,0.13463221309810205
subkind,0.11060893640959205,0.19950089236152024,0.013062704868151344,0.08876834352763215,0.5087667865950912,0.09173606222738234,0.34337941675639555,0.23211820065106584,0.2834561431905542,0.08012290987849356,0.10679877157651858,0.08589170451962391,1.0,0.1138666473276887,0.16417268005432287,0.0852260331097198
type,0.28526589645497685,0.00868582469621902,0.0993993189587929,0.35380058288157984,0.3218346456605679,0.23185085374159958,0.11159124999405702,0.1605283455798214,0.04165465346308361,0.21354955171974438,0.354571471479265,0.10095962687878024,0.1138666473276887,1.0,0.07111303507830481,0.2041364795581756
none,0.032411078169478365,0.06536216046091643,0.1515192144039474,0.02986945101694817,0.05801287809101818,0.09411222064721626,0.1434157310576306,0.268862780959812,0.09531997714510945,0.04455085924874022,0.06007728910764052,0.11723139904636327,0.16417268005432287,0.07111303507830481,1.0,0.08284712299868839
other,0.07367241373526723,0.028771618580975447,0.06768657736512448,0.015279075348334802,0.1236353248891466,0.18527447951948195,0.15059249786746245,0.11023250802622682,0.09308902570473551,0.0689494168243738,0.13201653514518094,0.13463221309810205,0.0852260331097198,0.2041364795581756,0.08284712299868839,1.0
