stereotype,total_correlation,rank
category,2.780173781237264,4
collective,1.8865767078274835,12
datatype,1.8093349061882074,14
enumeration,1.7179334001916482,15
event,2.4491648468832046,9
kind,3.380662791742008,1
mode,1.8663847926783683,13
phase,2.698392762883583,7
quality,2.44819799077641,10
relator,2.733329120627225,5
role,2.7084061767663075,6
roleMixin,2.3089304226076175,11
situation,3.1018564689000563,2
subkind,2.618554360553007,8
type,2.962358710877234,3
none,1.7051238647967755,16
other,1.5320556925664883,17
