Stereotype,average_quantity,rank,proportion
abstract,0,11,0.0
category,2,5,0.04878048780487805
collective,0,11,0.0
datatype,0,11,0.0
enumeration,0,11,0.0
event,2,5,0.04878048780487805
historicalRole,0,11,0.0
historicalRoleMixin,0,11,0.0
kind,6,2,0.14634146341463414
mixin,0,11,0.0
mode,1,9,0.024390243902439025
phase,2,5,0.04878048780487805
phaseMixin,0,11,0.0
quality,1,9,0.024390243902439025
quantity,0,11,0.0
relator,3,4,0.07317073170731707
role,4,3,0.0975609756097561
roleMixin,2,5,0.04878048780487805
situation,0,11,0.0
subkind,18,1,0.43902439024390244
type,0,11,0.0
none,0,11,0.0
other,0,11,0.0
