stereotype,total_correlation,rank
category,2.2895878486629138,11
collective,1.869553288490946,15
datatype,1.618440086777165,16
event,2.363065221640183,8
kind,3.324483153900534,1
mixin,1.6066781941395765,17
mode,2.2990236809837885,10
phase,2.4546088545656612,7
phaseMixin,2.0994710369440375,13
quality,2.540663295764781,5
relator,2.4710429391802124,6
role,2.282662966394311,12
roleMixin,2.3179283660948435,9
situation,2.9259590777543427,3
subkind,2.649552198723062,4
type,3.148220606557823,2
none,1.5588021535395553,18
other,1.9228245587936472,14
