Stereotype,DistanceFromOrigin,Rank
mediation,1326.0848389149164,1
none,557.5168158898887,2
other,368.26620806150544,3
componentOf,318.2656123428983,4
material,298.4292210893565,5
characterization,158.38244852255568,6
memberOf,130.38404810405297,7
derivation,113.35784048754634,8
subCollectionOf,19.4164878389476,9
comparative,15.033296378372908,10
externalDependence,8.246211251235321,11
participation,4.123105625617661,12
subQuantityOf,3.605551275463989,13
historicalDependence,0.0,14
bringsAbout,0.0,14
creation,0.0,14
participational,0.0,14
instantiation,0.0,14
manifestation,0.0,14
termination,0.0,14
triggers,0.0,14
