Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.010869565217391304,1,0.010869565217391304,0.00020420665713702266,0.0014285714285714286
category,297,3.2282608695652173,66,0.717391304347826,0.060649377169695734,0.09428571428571429
collective,67,0.7282608695652174,26,0.2826086956521739,0.013681846028180518,0.037142857142857144
datatype,78,0.8478260869565217,20,0.21739130434782608,0.01592811925668777,0.02857142857142857
enumeration,40,0.43478260869565216,5,0.05434782608695652,0.008168266285480907,0.007142857142857143
event,346,3.760869565217391,41,0.44565217391304346,0.07065550336940984,0.05857142857142857
historicalRole,23,0.25,4,0.043478260869565216,0.004696753114151521,0.005714285714285714
historicalRoleMixin,9,0.09782608695652174,3,0.03260869565217391,0.001837859914233204,0.004285714285714286
kind,912,9.91304347826087,77,0.8369565217391305,0.18623647130896467,0.11
mixin,17,0.18478260869565216,14,0.15217391304347827,0.0034715131713293854,0.02
mode,265,2.880434782608696,46,0.5,0.05411476414131101,0.06571428571428571
phase,197,2.141304347826087,33,0.358695652173913,0.040228711455993466,0.047142857142857146
phaseMixin,20,0.21739130434782608,8,0.08695652173913043,0.004084133142740453,0.011428571428571429
quality,242,2.630434782608696,42,0.45652173913043476,0.04941801102715949,0.06
quantity,11,0.11956521739130435,7,0.07608695652173914,0.002246273228507249,0.01
relator,342,3.717391304347826,71,0.7717391304347826,0.06983867674086175,0.10142857142857142
role,409,4.445652173913044,62,0.6739130434782609,0.08352052276904227,0.08857142857142856
roleMixin,265,2.880434782608696,40,0.43478260869565216,0.05411476414131101,0.05714285714285714
situation,68,0.7391304347826086,17,0.18478260869565216,0.013886052685317542,0.024285714285714285
subkind,1007,10.945652173913043,69,0.75,0.20563610373698182,0.09857142857142857
type,77,0.8369565217391305,20,0.21739130434782608,0.015723912599550745,0.02857142857142857
none,152,1.6521739130434783,16,0.17391304347826086,0.031039411884827447,0.022857142857142857
other,52,0.5652173913043478,12,0.13043478260869565,0.010618746171125178,0.017142857142857144
