Percentage,Top k Constructs,Coverage
10.0,2,0.3918725750459465
20.0,4,0.5460486011843986
30.0,6,0.6765366550949561
40.0,9,0.8341841944047376
50.0,11,0.9054523177455585
60.0,13,0.937104349601797
70.0,16,0.9752909944864202
80.0,18,0.9881560138860527
90.0,20,0.9957116602001225
100.0,23,1.0
