Percentage,Top k Constructs,Coverage
10.0,2,0.21142857142857144
20.0,4,0.4042857142857143
30.0,6,0.5585714285714286
40.0,9,0.7342857142857143
50.0,11,0.8185714285714286
60.0,13,0.8757142857142857
70.0,16,0.9428571428571428
80.0,18,0.9714285714285714
90.0,20,0.9885714285714285
100.0,23,1.0
