Construct,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9891304347826086,1.0
category,5.489751427819469,0.6275435514565949,0.028738564092099447
collective,4.228246945339236,0.8363075924724205,0.07150813098685675
datatype,3.9295758204240054,0.8698439241917503,0.08086785009861933
enumeration,1.7854752900138593,0.9706521739130435,0.355
event,4.5289879455265485,0.7907137471726564,0.07947141568378496
historicalRole,1.2087030023114833,0.9796786389413988,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9746376811594203,0.4074074074074074
kind,5.512693318566127,0.5899837909992373,0.03839402508464144
mixin,3.7345216445820206,0.868925831202046,0.07958477508650519
mode,4.635220767872331,0.7777276456111567,0.06922036311854751
phase,4.634686751740658,0.7914919443831384,0.048777345461104384
phaseMixin,2.701609485517467,0.941304347826087,0.19
quality,4.72593571265596,0.7745238950772547,0.05426541902875487
quantity,2.6635327447053894,0.941699604743083,0.17355371900826447
relator,5.498023868981891,0.6217899822018815,0.031223282377483664
role,5.551981918914512,0.6050547464653981,0.02598621481220223
roleMixin,4.328659257189424,0.8276045939294504,0.07927376290494838
situation,3.8254990295462137,0.875,0.08434256055363323
subkind,5.243333721841701,0.690201200293597,0.036596850842513524
type,3.9046102592530523,0.8739412761151891,0.08213864058019901
none,2.8655757169407288,0.937929061784897,0.21269044321329642
other,3.2921508605452146,0.9155518394648829,0.11908284023668639
