Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('event', 'type')",0.2978723404255319,0.45901639344262296
"('event', 'none')",0.14,0.24561403508771928
"('event', 'other')",0.1276595744680851,0.22641509433962265
"('historicalRole', 'historicalRoleMixin')",0.16666666666666666,0.2857142857142857
"('historicalRole', 'kind')",0.05194805194805195,0.09876543209876543
"('historicalRole', 'mixin')",0.0,0.0
"('historicalRole', 'mode')",0.0,0.0
"('historicalRole', 'phase')",0.027777777777777776,0.05405405405405406
"('historicalRole', 'phaseMixin')",0.0,0.0
"('historicalRole', 'quality')",0.022222222222222223,0.043478260869565216
"('historicalRole', 'quantity')",0.375,0.5454545454545454
"('historicalRole', 'relator')",0.056338028169014086,0.10666666666666667
"('historicalRole', 'role')",0.06451612903225806,0.12121212121212122
"('historicalRole', 'roleMixin')",0.07317073170731707,0.13636363636363635
"('historicalRole', 'situation')",0.10526315789473684,0.19047619047619047
"('historicalRole', 'subkind')",0.04285714285714286,0.0821917808219178
"('historicalRole', 'type')",0.043478260869565216,0.08333333333333333
"('historicalRole', 'none')",0.05263157894736842,0.1
"('historicalRole', 'other')",0.06666666666666667,0.125
"('historicalRoleMixin', 'kind')",0.012658227848101266,0.025
"('historicalRoleMixin', 'mixin')",0.0,0.0
"('historicalRoleMixin', 'mode')",0.020833333333333332,0.04081632653061224
"('historicalRoleMixin', 'phase')",0.0,0.0
"('historicalRoleMixin', 'phaseMixin')",0.2222222222222222,0.36363636363636365
"('historicalRoleMixin', 'quality')",0.022727272727272728,0.044444444444444446
"('historicalRoleMixin', 'quantity')",0.1111111111111111,0.2
"('historicalRoleMixin', 'relator')",0.0136986301369863,0.02702702702702703
"('historicalRoleMixin', 'role')",0.015625,0.03076923076923077
"('historicalRoleMixin', 'roleMixin')",0.04878048780487805,0.09302325581395349
"('historicalRoleMixin', 'situation')",0.05263157894736842,0.1
"('historicalRoleMixin', 'subkind')",0.014084507042253521,0.027777777777777776
"('historicalRoleMixin', 'type')",0.15,0.2608695652173913
"('historicalRoleMixin', 'none')",0.05555555555555555,0.10526315789473684
"('historicalRoleMixin', 'other')",0.0,0.0
"('kind', 'mixin')",0.1518987341772152,0.26373626373626374
"('kind', 'mode')",0.4642857142857143,0.6341463414634146
"('kind', 'phase')",0.41025641025641024,0.5818181818181818
"('kind', 'phaseMixin')",0.0759493670886076,0.1411764705882353
"('kind', 'quality')",0.45121951219512196,0.6218487394957983
"('kind', 'quantity')",0.09090909090909091,0.16666666666666666
"('kind', 'relator')",0.7209302325581395,0.8378378378378378
"('kind', 'role')",0.759493670886076,0.8633093525179856
"('kind', 'roleMixin')",0.3448275862068966,0.5128205128205128
"('kind', 'situation')",0.13253012048192772,0.23404255319148937
"('kind', 'subkind')",0.7590361445783133,0.863013698630137
"('kind', 'type')",0.1411764705882353,0.24742268041237114
"('kind', 'none')",0.17721518987341772,0.3010752688172043
"('kind', 'other')",0.14102564102564102,0.24719101123595505
"('mixin', 'mode')",0.17647058823529413,0.3
"('mixin', 'phase')",0.20512820512820512,0.3404255319148936
"('mixin', 'phaseMixin')",0.047619047619047616,0.09090909090909091
"('mixin', 'quality')",0.19148936170212766,0.32142857142857145
"('mixin', 'quantity')",0.05,0.09523809523809523
"('mixin', 'relator')",0.14864864864864866,0.25882352941176473
"('mixin', 'role')",0.20634920634920634,0.34210526315789475
"('mixin', 'roleMixin')",0.17391304347826086,0.2962962962962963
"('mixin', 'situation')",0.03333333333333333,0.06451612903225806
"('mixin', 'subkind')",0.136986301369863,0.24096385542168675
"('mixin', 'type')",0.13333333333333333,0.23529411764705882
"('mixin', 'none')",0.15384615384615385,0.26666666666666666
"('mixin', 'other')",0.0,0.0
"('mode', 'phase')",0.31666666666666665,0.4810126582278481
"('mode', 'phaseMixin')",0.125,0.2222222222222222
"('mode', 'quality')",0.4426229508196721,0.6136363636363636
"('mode', 'quantity')",0.06,0.11320754716981132
"('mode', 'relator')",0.4810126582278481,0.6495726495726496
"('mode', 'role')",0.4794520547945205,0.6481481481481481
"('mode', 'roleMixin')",0.4098360655737705,0.5813953488372093
"('mode', 'situation')",0.125,0.2222222222222222
"('mode', 'subkind')",0.4935064935064935,0.6608695652173913
"('mode', 'type')",0.2692307692307692,0.42424242424242425
"('mode', 'none')",0.21568627450980393,0.3548387096774194
"('mode', 'other')",0.05454545454545454,0.10344827586206896
"('phase', 'phaseMixin')",0.1388888888888889,0.24390243902439024
"('phase', 'quality')",0.3157894736842105,0.48
"('phase', 'quantity')",0.14285714285714285,0.25
"('phase', 'relator')",0.3684210526315789,0.5384615384615384
"('phase', 'role')",0.417910447761194,0.5894736842105263
"('phase', 'roleMixin')",0.23728813559322035,0.3835616438356164
"('phase', 'situation')",0.1111111111111111,0.2
"('phase', 'subkind')",0.43661971830985913,0.6078431372549019
"('phase', 'type')",0.15217391304347827,0.2641509433962264
"('phase', 'none')",0.11363636363636363,0.20408163265306123
"('phase', 'other')",0.125,0.2222222222222222
"('phaseMixin', 'quality')",0.1111111111111111,0.2
"('phaseMixin', 'quantity')",0.0,0.0
"('phaseMixin', 'relator')",0.0821917808219178,0.1518987341772152
"('phaseMixin', 'role')",0.06060606060606061,0.11428571428571428
"('phaseMixin', 'roleMixin')",0.17073170731707318,0.2916666666666667
"('phaseMixin', 'situation')",0.041666666666666664,0.08
"('phaseMixin', 'subkind')",0.08450704225352113,0.15584415584415584
"('phaseMixin', 'type')",0.21739130434782608,0.35714285714285715
"('phaseMixin', 'none')",0.043478260869565216,0.08333333333333333
"('phaseMixin', 'other')",0.05263157894736842,0.1
"('quality', 'quantity')",0.08888888888888889,0.16326530612244897
"('quality', 'relator')",0.4675324675324675,0.6371681415929203
"('quality', 'role')",0.4647887323943662,0.6346153846153846
"('quality', 'roleMixin')",0.3225806451612903,0.4878048780487805
"('quality', 'situation')",0.22916666666666666,0.3728813559322034
"('quality', 'subkind')",0.4605263157894737,0.6306306306306306
