Stereotype,characterization,componentOf,derivation,externalDependence,material,mediation,memberOf,participation,none,other
characterization,1.0,0.2918893296123525,0.08730652977375541,0.3433244230092981,0.1898368809080165,0.3937764484187772,0.22410942520376326,0.31661823314813586,0.012787680301625595,0.08950744240204092
componentOf,0.2918893296123525,1.0,0.130190846510197,0.01013924794962239,0.3470969196074201,0.2681665407477784,0.43407050787274576,0.006091565587647088,0.08572206458737273,0.12277618570728561
derivation,0.08730652977375541,0.130190846510197,1.0,0.10450115152302372,0.514827660314176,0.44522435279061673,0.27348984927115744,0.023859989999870004,0.02204025380409182,0.304405432435209
externalDependence,0.3433244230092981,0.01013924794962239,0.10450115152302372,1.0,0.22465596429906695,0.08908804468222487,0.11482259483779791,0.34123609455787135,0.008818295688580169,0.07068423694543358
material,0.1898368809080165,0.3470969196074201,0.514827660314176,0.22465596429906695,1.0,0.395964915881767,0.3152150935868001,0.03195136625065393,0.12295768332492625,0.18513494970751945
mediation,0.3937764484187772,0.2681665407477784,0.44522435279061673,0.08908804468222487,0.395964915881767,1.0,0.40831024227045615,0.10548077462350033,0.14373128512882596,0.1895923753383912
memberOf,0.22410942520376326,0.43407050787274576,0.27348984927115744,0.11482259483779791,0.3152150935868001,0.40831024227045615,1.0,0.1603892021758001,0.14455594098424224,0.24995701660811098
participation,0.31661823314813586,0.006091565587647088,0.023859989999870004,0.34123609455787135,0.03195136625065393,0.10548077462350033,0.1603892021758001,1.0,0.016545646166066543,0.014856737834669958
none,0.012787680301625595,0.08572206458737273,0.02204025380409182,0.008818295688580169,0.12295768332492625,0.14373128512882596,0.14455594098424224,0.016545646166066543,1.0,0.0447016838020271
other,0.08950744240204092,0.12277618570728561,0.304405432435209,0.07068423694543358,0.18513494970751945,0.1895923753383912,0.24995701660811098,0.014856737834669958,0.0447016838020271,1.0
