Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.24969716214062157,0.22204682918753962,0.04665630271928926,0.4079183406718204,0.31242968865052395,0.1945426333719225,0.3530151870330434,0.20010568056885358,0.38100690772477863,0.02959127056457513,0.07425669766743397
componentOf,0.24969716214062157,1.0,0.022028338795281956,0.2118181066215302,-0.077616795685963,0.0952399488711602,0.39443052837074005,0.34662888480169085,0.449182929976259,-0.016613530393746162,-0.13188996877629855,0.16357615317633073
creation,0.22204682918753962,0.022028338795281956,1.0,0.0080765606274716,0.30035600464729256,0.3930041487006871,-0.0030556655633845373,0.17328274168627195,0.13987759615504453,0.7195100634357636,0.032249996151471075,-0.09518821223557156
derivation,0.04665630271928926,0.2118181066215302,0.0080765606274716,1.0,-0.15571946418731622,-0.1401896474206737,0.5021701104711027,0.42094541834163085,0.2706753552558067,-0.06437351616097382,-0.015118300855893047,0.31002871857672865
externalDependence,0.4079183406718204,-0.077616795685963,0.30035600464729256,-0.15571946418731622,1.0,0.4824256590524791,-0.20678943452914014,0.09473212692035742,0.08842235104546203,0.3898013497424784,0.04954010093832312,-0.0026618268054166483
instantiation,0.31242968865052395,0.0952399488711602,0.3930041487006871,-0.1401896474206737,0.4824256590524791,1.0,-0.13206587174151008,0.04883444568844001,0.04042303596986939,0.52924806393756,-0.01996826166608959,-0.025173738664474487
material,0.1945426333719225,0.39443052837074005,-0.0030556655633845373,0.5021701104711027,-0.20678943452914014,-0.13206587174151008,1.0,0.41784267672248965,0.297171249166107,-0.037562539658708836,-0.15762977159280273,0.18280353408313843
mediation,0.3530151870330434,0.34662888480169085,0.17328274168627195,0.42094541834163085,0.09473212692035742,0.04883444568844001,0.41784267672248965,1.0,0.44188742092675926,0.07140489311750671,-0.2006238359335471,0.1749443220613676
memberOf,0.20010568056885358,0.449182929976259,0.13987759615504453,0.2706753552558067,0.08842235104546203,0.04042303596986939,0.297171249166107,0.44188742092675926,1.0,0.11881235331212125,-0.18203154871004396,0.24998089798819098
participation,0.38100690772477863,-0.016613530393746162,0.7195100634357636,-0.06437351616097382,0.3898013497424784,0.52924806393756,-0.037562539658708836,0.07140489311750671,0.11881235331212125,1.0,0.03835426285481376,-0.015936829631025978
none,0.02959127056457513,-0.13188996877629855,0.032249996151471075,-0.015118300855893047,0.04954010093832312,-0.01996826166608959,-0.15762977159280273,-0.2006238359335471,-0.18203154871004396,0.03835426285481376,1.0,-0.09781434904072374
other,0.07425669766743397,0.16357615317633073,-0.09518821223557156,0.31002871857672865,-0.0026618268054166483,-0.025173738664474487,0.18280353408313843,0.1749443220613676,0.24998089798819098,-0.015936829631025978,-0.09781434904072374,1.0
