Stereotype,characterization,componentOf,derivation,externalDependence,material,mediation,memberOf,participation,none,other
characterization,1.0,0.2837927337011976,0.06937711592576863,0.35740346229310777,0.19025310352816197,0.3818397805768552,0.23594510046486525,0.333534861379486,0.003353121777601751,0.093571765994605
componentOf,0.2837927337011976,1.0,0.18561208165774642,-0.012753541424891483,0.39276014210542026,0.37718050412521253,0.45936626554904847,0.004311123526746892,-0.13869129956504395,0.13397302791417193
derivation,0.06937711592576863,0.18561208165774642,1.0,-0.11391733025645134,0.5105127069671637,0.44266100892218635,0.26346801708095324,-0.039593451881299785,-0.008042647185806173,0.30780835114294575
externalDependence,0.35740346229310777,-0.012753541424891483,-0.11391733025645134,1.0,-0.24301359500748052,0.08908900873740724,0.11363698968145103,0.34483184917495363,0.013522600187496493,0.06460886969734395
material,0.19025310352816197,0.39276014210542026,0.5105127069671637,-0.24301359500748052,1.0,0.42652142341828264,0.3195166160302117,-0.02782282406082307,-0.16566003464906276,0.17374542005847796
mediation,0.3818397805768552,0.37718050412521253,0.44266100892218635,0.08908900873740724,0.42652142341828264,1.0,0.456837234475569,0.10860767529977108,-0.22403005127573686,0.20067841180150955
memberOf,0.23594510046486525,0.45936626554904847,0.26346801708095324,0.11363698968145103,0.3195166160302117,0.456837234475569,1.0,0.1624656384666636,-0.19669838613315435,0.2480236841424364
participation,0.333534861379486,0.004311123526746892,-0.039593451881299785,0.34483184917495363,-0.02782282406082307,0.10860767529977108,0.1624656384666636,1.0,0.0026107305077911415,0.008452620294942441
none,0.003353121777601751,-0.13869129956504395,-0.008042647185806173,0.013522600187496493,-0.16566003464906276,-0.22403005127573686,-0.19669838613315435,0.0026107305077911415,1.0,-0.09985576412486957
other,0.093571765994605,0.13397302791417193,0.30780835114294575,0.06460886969734395,0.17374542005847796,0.20067841180150955,0.2480236841424364,0.008452620294942441,-0.09985576412486957,1.0
