Stereotype,average_quantity,rank,proportion
bringsAbout,0,10,0.0
characterization,4,3,0.06557377049180328
comparative,0,10,0.0
componentOf,4,3,0.06557377049180328
creation,0,10,0.0
derivation,1,7,0.01639344262295082
externalDependence,0,10,0.0
historicalDependence,0,10,0.0
instantiation,0,10,0.0
manifestation,0,10,0.0
material,4,3,0.06557377049180328
mediation,15,2,0.2459016393442623
memberOf,1,7,0.01639344262295082
participation,1,7,0.01639344262295082
participational,0,10,0.0
subCollectionOf,0,10,0.0
subQuantityOf,0,10,0.0
termination,0,10,0.0
triggers,0,10,0.0
none,27,1,0.4426229508196721
other,4,3,0.06557377049180328
