model_id,element,count
aires2022valuenetworks-geo,isComplete,3
aires2022valuenetworks-geo,isDisjoint,3
aires2022valuenetworks-geo,Package,2
aires2022valuenetworks-geo,mediation,2
aires2022valuenetworks-geo,Diagram,2
aires2022valuenetworks-geo,subkind,2
aires2022valuenetworks-geo,diagram,2
aires2022valuenetworks-geo,Project,1
aires2022valuenetworks-geo,nonPerceivableQuality,1
aires2022valuenetworks-geo,characterization,1
aires2022valuenetworks-geo,stringNominalStructure,1
aires2022valuenetworks-geo,structuration,1
aires2022valuenetworks-geo,composite,1
aires2022valuenetworks-geo,model,1
albuquerque2011ontobio,Point,842
albuquerque2011ontobio,yCoordinate,842
albuquerque2011ontobio,xCoordinate,842
albuquerque2011ontobio,project,729
albuquerque2011ontobio,point,662
albuquerque2011ontobio,containsView,352
albuquerque2011ontobio,containsModelElement,339
albuquerque2011ontobio,isDerived,290
albuquerque2011ontobio,shape,284
albuquerque2011ontobio,isViewOf,284
albuquerque2011ontobio,name,210
albuquerque2011ontobio,stereotype,185
albuquerque2011ontobio,width,180
albuquerque2011ontobio,topLeftPosition,180
albuquerque2011ontobio,height,180
albuquerque2011ontobio,Path,172
albuquerque2011ontobio,Rectangle,158
albuquerque2011ontobio,ClassView,158
albuquerque2011ontobio,Class,147
albuquerque2011ontobio,isAbstract,147
albuquerque2011ontobio,isPowertype,147
albuquerque2011ontobio,order,147
albuquerque2011ontobio,isExtensional,147
albuquerque2011ontobio,restrictedTo,143
albuquerque2011ontobio,GeneralizationView,126
albuquerque2011ontobio,Generalization,126
albuquerque2011ontobio,sourceView,126
albuquerque2011ontobio,targetView,126
albuquerque2011ontobio,specific,126
albuquerque2011ontobio,general,126
albuquerque2011ontobio,Property,100
albuquerque2011ontobio,isOrdered,100
albuquerque2011ontobio,isReadOnly,100
albuquerque2011ontobio,aggregationKind,100
albuquerque2011ontobio,generalization,96
albuquerque2011ontobio,none,92
albuquerque2011ontobio,functionalComplex,89
albuquerque2011ontobio,Cardinality,86
albuquerque2011ontobio,cardinalityValue,86
albuquerque2011ontobio,cardinality,86
albuquerque2011ontobio,propertyType,86
albuquerque2011ontobio,relationEnd,86
albuquerque2011ontobio,upperBound,75
albuquerque2011ontobio,lowerBound,75
albuquerque2011ontobio,Relation,43
albuquerque2011ontobio,targetEnd,43
albuquerque2011ontobio,sourceEnd,43
albuquerque2011ontobio,subkind,41
albuquerque2011ontobio,category,35
albuquerque2011ontobio,GeneralizationSet,22
albuquerque2011ontobio,Text,22
albuquerque2011ontobio,isComplete,22
albuquerque2011ontobio,isDisjoint,22
albuquerque2011ontobio,relator,20
albuquerque2011ontobio,type,18
albuquerque2011ontobio,quantity,18
albuquerque2011ontobio,intrinsicMode,16
albuquerque2011ontobio,mode,16
albuquerque2011ontobio,comparative,15
albuquerque2011ontobio,attribute,14
albuquerque2011ontobio,role,12
albuquerque2011ontobio,mediation,11
albuquerque2011ontobio,kind,9
albuquerque2011ontobio,composite,8
albuquerque2011ontobio,mixin,8
albuquerque2011ontobio,collective,6
albuquerque2011ontobio,Diagram,5
albuquerque2011ontobio,componentOf,5
albuquerque2011ontobio,diagram,5
albuquerque2011ontobio,memberOf,3
albuquerque2011ontobio,characterization,3
albuquerque2011ontobio,Package,2
albuquerque2011ontobio,abstract,1
albuquerque2011ontobio,Project,1
albuquerque2011ontobio,material,1
albuquerque2011ontobio,datatype,1
albuquerque2011ontobio,model,1
alkhalaf2024,containsView,864
alkhalaf2024,project,642
alkhalaf2024,isDerived,526
alkhalaf2024,containsModelElement,384
alkhalaf2024,stereotype,270
alkhalaf2024,Property,252
alkhalaf2024,propertyType,252
alkhalaf2024,aggregationKind,252
alkhalaf2024,isOrdered,252
alkhalaf2024,relationEnd,252
alkhalaf2024,isReadOnly,252
alkhalaf2024,Cardinality,244
alkhalaf2024,upperBound,244
alkhalaf2024,lowerBound,244
alkhalaf2024,cardinalityValue,244
alkhalaf2024,cardinality,244
alkhalaf2024,none,225
alkhalaf2024,name,189
alkhalaf2024,Class,148
alkhalaf2024,isAbstract,148
alkhalaf2024,isPowertype,148
alkhalaf2024,restrictedTo,148
alkhalaf2024,isExtensional,148
alkhalaf2024,order,148
alkhalaf2024,Relation,126
alkhalaf2024,sourceEnd,126
alkhalaf2024,targetEnd,126
alkhalaf2024,Generalization,86
alkhalaf2024,specific,86
alkhalaf2024,general,86
alkhalaf2024,functionalComplex,73
alkhalaf2024,generalization,58
alkhalaf2024,description,53
alkhalaf2024,mediation,50
alkhalaf2024,quality,50
alkhalaf2024,relator,45
alkhalaf2024,characterization,28
alkhalaf2024,collective,27
alkhalaf2024,kind,26
alkhalaf2024,subkind,24
alkhalaf2024,GeneralizationSet,24
alkhalaf2024,isComplete,24
alkhalaf2024,isDisjoint,24
alkhalaf2024,composite,22
alkhalaf2024,phase,17
alkhalaf2024,memberOf,16
alkhalaf2024,material,16
alkhalaf2024,category,10
alkhalaf2024,componentOf,9
alkhalaf2024,role,8
alkhalaf2024,type,6
alkhalaf2024,shared,5
alkhalaf2024,intrinsicMode,5
alkhalaf2024,mode,5
alkhalaf2024,Diagram,5
alkhalaf2024,diagram,5
alkhalaf2024,instantiation,2
alkhalaf2024,Package,1
alkhalaf2024,Project,1
alkhalaf2024,derivation,1
alkhalaf2024,model,1
alpinebits2022,Point,691
alpinebits2022,yCoordinate,691
alpinebits2022,xCoordinate,691
alpinebits2022,project,641
alpinebits2022,point,511
alpinebits2022,containsView,353
alpinebits2022,shape,290
alpinebits2022,isViewOf,290
alpinebits2022,name,262
alpinebits2022,isDerived,248
alpinebits2022,containsModelElement,185
alpinebits2022,height,180
alpinebits2022,width,180
alpinebits2022,topLeftPosition,180
alpinebits2022,Path,173
alpinebits2022,ClassView,167
alpinebits2022,Rectangle,167
alpinebits2022,Property,133
alpinebits2022,aggregationKind,133
alpinebits2022,isReadOnly,133
alpinebits2022,isOrdered,133
alpinebits2022,propertyType,129
alpinebits2022,none,127
alpinebits2022,GeneralizationView,123
alpinebits2022,sourceView,123
alpinebits2022,targetView,123
alpinebits2022,stereotype,112
alpinebits2022,restrictedTo,90
alpinebits2022,Cardinality,78
alpinebits2022,Class,78
alpinebits2022,cardinality,78
alpinebits2022,isPowertype,78
alpinebits2022,order,78
alpinebits2022,isAbstract,78
alpinebits2022,isExtensional,78
alpinebits2022,cardinalityValue,78
alpinebits2022,relationEnd,74
alpinebits2022,Generalization,59
alpinebits2022,attribute,59
alpinebits2022,specific,59
alpinebits2022,general,59
alpinebits2022,upperBound,52
alpinebits2022,lowerBound,52
alpinebits2022,Relation,37
alpinebits2022,sourceEnd,37
alpinebits2022,targetEnd,37
alpinebits2022,functionalComplex,32
alpinebits2022,generalization,27
alpinebits2022,subkind,22
alpinebits2022,Literal,22
alpinebits2022,literal,22
alpinebits2022,abstract,17
alpinebits2022,datatype,13
alpinebits2022,Text,13
alpinebits2022,quality,12
alpinebits2022,material,12
alpinebits2022,collective,11
alpinebits2022,type,11
alpinebits2022,GeneralizationSet,10
alpinebits2022,relator,10
alpinebits2022,Diagram,10
alpinebits2022,instantiation,10
alpinebits2022,isComplete,10
alpinebits2022,diagram,10
alpinebits2022,isDisjoint,10
alpinebits2022,kind,9
alpinebits2022,roleMixin,8
alpinebits2022,mediation,6
alpinebits2022,category,5
alpinebits2022,phase,5
alpinebits2022,shared,5
alpinebits2022,enumeration,4
alpinebits2022,componentOf,3
alpinebits2022,phaseMixin,3
alpinebits2022,intrinsicMode,2
alpinebits2022,Package,2
alpinebits2022,extrinsicMode,2
alpinebits2022,characterization,2
alpinebits2022,quantity,2
alpinebits2022,composite,1
alpinebits2022,Project,1
alpinebits2022,historicalDependence,1
alpinebits2022,description,1
