model_id,type,count
falduci2022non-consensual-pornography,Property,76
falduci2022non-consensual-pornography,Cardinality,76
falduci2022non-consensual-pornography,Path,68
falduci2022non-consensual-pornography,ClassView,51
falduci2022non-consensual-pornography,Rectangle,51
falduci2022non-consensual-pornography,Relation,38
falduci2022non-consensual-pornography,GeneralizationView,30
falduci2022non-consensual-pornography,Class,27
falduci2022non-consensual-pornography,Generalization,13
falduci2022non-consensual-pornography,Text,7
falduci2022non-consensual-pornography,Diagram,5
falduci2022non-consensual-pornography,GeneralizationSet,2
falduci2022non-consensual-pornography,Project,1
falduci2022non-consensual-pornography,Package,1
fernandez-cejas2022curie-o,Point,146
fernandez-cejas2022curie-o,Property,42
fernandez-cejas2022curie-o,Cardinality,42
fernandez-cejas2022curie-o,Path,35
fernandez-cejas2022curie-o,Class,29
fernandez-cejas2022curie-o,ClassView,29
fernandez-cejas2022curie-o,Rectangle,29
fernandez-cejas2022curie-o,Relation,21
fernandez-cejas2022curie-o,Generalization,14
fernandez-cejas2022curie-o,GeneralizationView,14
fernandez-cejas2022curie-o,GeneralizationSet,3
fernandez-cejas2022curie-o,Text,3
fernandez-cejas2022curie-o,Package,2
fernandez-cejas2022curie-o,Project,1
fernandez-cejas2022curie-o,Diagram,1
ferreira2015ontoemergeplan,Point,917
ferreira2015ontoemergeplan,Property,247
ferreira2015ontoemergeplan,Cardinality,247
ferreira2015ontoemergeplan,Path,247
ferreira2015ontoemergeplan,ClassView,193
ferreira2015ontoemergeplan,Rectangle,193
ferreira2015ontoemergeplan,Class,147
ferreira2015ontoemergeplan,GeneralizationView,122
ferreira2015ontoemergeplan,Relation,121
ferreira2015ontoemergeplan,Generalization,117
ferreira2015ontoemergeplan,GeneralizationSet,19
ferreira2015ontoemergeplan,Text,19
ferreira2015ontoemergeplan,Diagram,9
ferreira2015ontoemergeplan,Package,5
ferreira2015ontoemergeplan,Project,1
fischer2018ontorea,Point,136
fischer2018ontorea,Property,46
fischer2018ontorea,Cardinality,46
fischer2018ontorea,Path,35
fischer2018ontorea,Relation,23
fischer2018ontorea,Class,18
fischer2018ontorea,ClassView,18
fischer2018ontorea,Rectangle,18
fischer2018ontorea,Generalization,12
fischer2018ontorea,GeneralizationView,12
fischer2018ontorea,GeneralizationSet,4
fischer2018ontorea,Text,4
fischer2018ontorea,Package,2
fischer2018ontorea,Project,1
fischer2018ontorea,Diagram,1
fonseca2022incorporating,Point,436
fonseca2022incorporating,Path,108
fonseca2022incorporating,ClassView,103
fonseca2022incorporating,Rectangle,103
fonseca2022incorporating,GeneralizationView,66
fonseca2022incorporating,Property,61
fonseca2022incorporating,Class,51
fonseca2022incorporating,Cardinality,42
fonseca2022incorporating,Generalization,37
fonseca2022incorporating,Relation,21
fonseca2022incorporating,Text,11
fonseca2022incorporating,Diagram,7
fonseca2022incorporating,GeneralizationSet,6
fonseca2022incorporating,Package,5
fonseca2022incorporating,Project,1
formula-one2023,Class,26
formula-one2023,Property,26
formula-one2023,Cardinality,26
formula-one2023,Generalization,18
formula-one2023,Relation,13
formula-one2023,GeneralizationSet,6
formula-one2023,Project,1
formula-one2023,Package,1
formula-one2023,Diagram,1
fraller2019abc,Point,294
fraller2019abc,Property,137
fraller2019abc,Cardinality,92
fraller2019abc,Path,76
fraller2019abc,ClassView,53
fraller2019abc,Rectangle,53
fraller2019abc,Relation,46
fraller2019abc,Class,39
fraller2019abc,GeneralizationView,26
fraller2019abc,Generalization,23
fraller2019abc,Text,9
fraller2019abc,GeneralizationSet,8
fraller2019abc,Diagram,7
fraller2019abc,Project,1
fraller2019abc,Package,1
franco2018rpg,Point,128
franco2018rpg,Property,48
franco2018rpg,Cardinality,48
franco2018rpg,Path,33
franco2018rpg,Relation,24
franco2018rpg,Class,23
franco2018rpg,ClassView,23
franco2018rpg,Rectangle,23
franco2018rpg,Generalization,9
franco2018rpg,GeneralizationView,9
franco2018rpg,GeneralizationSet,2
franco2018rpg,Text,2
franco2018rpg,Project,1
franco2018rpg,Package,1
franco2018rpg,Diagram,1
fumagalli2022criminal-investigation,Point,59
fumagalli2022criminal-investigation,Property,18
fumagalli2022criminal-investigation,Cardinality,18
fumagalli2022criminal-investigation,Path,17
fumagalli2022criminal-investigation,Class,10
fumagalli2022criminal-investigation,ClassView,10
fumagalli2022criminal-investigation,Rectangle,10
fumagalli2022criminal-investigation,Relation,9
fumagalli2022criminal-investigation,Generalization,8
fumagalli2022criminal-investigation,GeneralizationView,8
fumagalli2022criminal-investigation,GeneralizationSet,2
fumagalli2022criminal-investigation,Text,2
fumagalli2022criminal-investigation,Project,1
fumagalli2022criminal-investigation,Package,1
fumagalli2022criminal-investigation,Diagram,1
gailly2016value,Point,42
gailly2016value,Property,30
gailly2016value,Cardinality,30
gailly2016value,Relation,15
gailly2016value,Path,15
gailly2016value,Class,12
gailly2016value,ClassView,12
gailly2016value,Rectangle,12
gailly2016value,Package,2
gailly2016value,Project,1
gailly2016value,Diagram,1
garcia2022human-genome-events,Point,77
garcia2022human-genome-events,Property,27
garcia2022human-genome-events,Path,18
garcia2022human-genome-events,Cardinality,16
garcia2022human-genome-events,Class,15
