stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
bringsAbout,3.020814504733031,5
characterization,2.5571995582220426,8
componentOf,2.12615674822864,13
creation,2.406519636506975,10
derivation,2.2084810135958697,12
externalDependence,2.8748470256945517,6
historicalDependence,3.327468669326885,4
instantiation,3.982062607853509,2
manifestation,4.045579720380577,1
material,2.4188434913559202,9
mediation,2.2098147160457517,11
memberOf,2.066121652789116,14
participation,3.6165682545889393,3
triggers,2.8242374991544565,7
