Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,1.0,0.24192740467852644,0.24848220837719454,0.07897112194225361,0.0888399936541289,-0.047307293875025455,0.15297541030690992,0.3648463969470796,0.23931080462316437,0.3048759256605051,0.19194073160809894,-0.243818694114249,-0.0998154793602739,0.47395001129157033,0.09209814762579394,,,0.19642207153837188,0.6370127488612405
characterization,0.24192740467852644,1.0,-0.055890465422918076,0.20059649684475164,0.09866573478191336,-0.15021128928714245,0.349896322275698,0.1875240347080826,0.2588549526283385,0.3449361432023736,0.1554418230323264,0.1305671761325791,0.00010756678843285087,0.24791473782761295,0.07938399067841913,,,-0.19197474244668958,0.28955922361808384
comparative,0.24848220837719454,-0.055890465422918076,1.0,0.30886902229037944,0.163292262885101,0.10019429274037314,-0.1381284955271822,0.1867718593609528,-0.11820359937141112,0.05102922201441836,0.4035676280879294,0.2509155193635756,0.15395089230059605,0.16759485838463334,-0.050538777024234004,,,0.3484848484848485,-0.08554762286369322
componentOf,0.07897112194225361,0.20059649684475164,0.30886902229037944,1.0,0.02196117710209929,-0.13998865014980372,0.06347788571308303,0.10854761815296289,0.2500053302130039,0.2343229252649172,0.26650906397679797,0.23707506224800715,0.2740608765655082,-0.02168130623986835,-0.13533694425895879,,,0.11782561598549665,-0.14637892699439276
creation,0.0888399936541289,0.09866573478191336,0.163292262885101,0.02196117710209929,1.0,-0.002505211682447052,0.15096743773859217,0.28082773580274495,0.3246578704232193,0.36482883769596747,-0.060235613992200475,0.1503746134739691,0.16814560505163229,0.6620664315665822,0.2463458006103523,,,0.31008723052205933,-0.08290263426654775
derivation,-0.047307293875025455,-0.15021128928714245,0.10019429274037314,-0.13998865014980372,-0.002505211682447052,1.0,-0.12812149816900376,-0.16887416667168514,-0.21476248479791096,-0.22914597822940772,0.3125505418798891,0.2571933941333466,0.1334171480984617,-0.13665173048179532,-0.1446215478157476,,,0.04125409482675537,0.07140079073342717
externalDependence,0.15297541030690992,0.349896322275698,-0.1381284955271822,0.06347788571308303,0.15096743773859217,-0.12812149816900376,1.0,0.30150580747169525,0.4853563461271195,0.4009871481602385,-0.28504466666223877,0.02376492655341422,0.12789026024716127,0.20764835479162275,0.13717532582259598,,,0.059333511368495934,0.21345833201093928
historicalDependence,0.3648463969470796,0.1875240347080826,0.1867718593609528,0.10854761815296289,0.28082773580274495,-0.16887416667168514,0.30150580747169525,1.0,0.5298094536137963,0.5081968501076449,0.0031662633739118315,0.016219452520214554,0.123401982142981,0.517776583743212,0.24464158449895146,,,0.11557272471176383,0.31258224863417017
instantiation,0.23931080462316437,0.2588549526283385,-0.11820359937141112,0.2500053302130039,0.3246578704232193,-0.21476248479791096,0.4853563461271195,0.5298094536137963,1.0,0.7679949842603818,-0.157033552984505,0.013382710253858116,0.03165880622602931,0.4551440990692619,0.043933634851076625,,,0.0946320000626567,0.19963020248089913
manifestation,0.3048759256605051,0.3449361432023736,0.05102922201441836,0.2343229252649172,0.36482883769596747,-0.22914597822940772,0.4009871481602385,0.5081968501076449,0.7679949842603818,1.0,-0.10829759904587712,-0.01646366371132913,0.05835150700749081,0.5335060025640512,-0.08815461658215588,,,-0.07146925861560129,0.26243106364624147
material,0.19194073160809894,0.1554418230323264,0.4035676280879294,0.26650906397679797,-0.060235613992200475,0.3125505418798891,-0.28504466666223877,0.0031662633739118315,-0.157033552984505,-0.10829759904587712,1.0,0.28333202776715904,0.2112549641244111,-0.07416006094724373,-0.16407454779262598,,,0.08090747704988395,-0.0457897095154396
mediation,-0.243818694114249,0.1305671761325791,0.2509155193635756,0.23707506224800715,0.1503746134739691,0.2571933941333466,0.02376492655341422,0.016219452520214554,0.013382710253858116,-0.01646366371132913,0.28333202776715904,1.0,0.3314164862707726,-0.061146346320082146,-0.010529056662185546,,,0.02808865376417175,-0.25493638506743416
memberOf,-0.0998154793602739,0.00010756678843285087,0.15395089230059605,0.2740608765655082,0.16814560505163229,0.1334171480984617,0.12789026024716127,0.123401982142981,0.03165880622602931,0.05835150700749081,0.2112549641244111,0.3314164862707726,1.0,0.12276621079236452,-0.10171418921282821,,,0.10864088646805203,-0.17217288606910533
participation,0.47395001129157033,0.24791473782761295,0.16759485838463334,-0.02168130623986835,0.6620664315665822,-0.13665173048179532,0.20764835479162275,0.517776583743212,0.4551440990692619,0.5335060025640512,-0.07416006094724373,-0.061146346320082146,0.12276621079236452,1.0,0.2710393978690848,,,0.1723137715195823,0.32073494802244507
participational,0.09209814762579394,0.07938399067841913,-0.050538777024234004,-0.13533694425895879,0.2463458006103523,-0.1446215478157476,0.13717532582259598,0.24464158449895146,0.043933634851076625,-0.08815461658215588,-0.16407454779262598,-0.010529056662185546,-0.10171418921282821,0.2710393978690848,1.0,,,0.37591922775112085,0.13197708626682386
subCollectionOf,,,,,,,,,,,,,,,,,,,
subQuantityOf,,,,,,,,,,,,,,,,,,,
termination,0.19642207153837188,-0.19197474244668958,0.3484848484848485,0.11782561598549665,0.31008723052205933,0.04125409482675537,0.059333511368495934,0.11557272471176383,0.0946320000626567,-0.07146925861560129,0.08090747704988395,0.02808865376417175,0.10864088646805203,0.1723137715195823,0.37591922775112085,,,1.0,-0.0596423567852509
triggers,0.6370127488612405,0.28955922361808384,-0.08554762286369322,-0.14637892699439276,-0.08290263426654775,0.07140079073342717,0.21345833201093928,0.31258224863417017,0.19963020248089913,0.26243106364624147,-0.0457897095154396,-0.25493638506743416,-0.17217288606910533,0.32073494802244507,0.13197708626682386,,,-0.0596423567852509,1.0
