Group,x_value,y_value,quadrant
sortal,28,4687,Q1
non_sortal,21,663,Q1
rigid,28,3265,Q1
non_rigid,26,1949,Q1
abstracts,8,33,Q3
temporal,12,139,Q3
other,7,58,Q3
none,7,228,Q3
rigid_sortal,28,2980,Q1
rigid_non_sortal,20,285,Q4
non_rigid_sortal,23,1571,Q1
non_rigid_non_sortal,17,378,Q2
undef,11,286,Q3
