Group,x_value,y_value,quadrant
sortal,96.55172413793105,4687,Q1
non_sortal,72.41379310344827,663,Q1
rigid,96.55172413793105,3265,Q1
non_rigid,89.65517241379311,1949,Q1
abstracts,27.58620689655172,33,Q3
temporal,41.37931034482759,139,Q3
other,24.13793103448276,58,Q3
none,24.13793103448276,228,Q3
rigid_sortal,96.55172413793105,2980,Q1
rigid_non_sortal,68.96551724137932,285,Q4
non_rigid_sortal,79.3103448275862,1571,Q1
non_rigid_non_sortal,58.620689655172406,378,Q2
undef,37.93103448275862,286,Q3
