Group,x_value,y_value,quadrant
sortal,97.82608695652172,38.60869565217392,Q1
non_sortal,80.43478260869566,6.608695652173913,Q1
rigid,98.91304347826086,34.16304347826087,Q1
non_rigid,85.86956521739131,10.217391304347826,Q1
abstracts,25.0,1.2934782608695652,Q3
temporal,44.56521739130434,4.8478260869565215,Q2
other,13.043478260869565,0.5652173913043478,Q3
none,17.391304347826086,1.6521739130434785,Q3
rigid_sortal,95.65217391304348,30.93478260869565,Q1
rigid_non_sortal,71.73913043478261,3.2282608695652173,Q4
non_rigid_sortal,72.82608695652173,6.836956521739131,Q1
non_rigid_non_sortal,51.08695652173913,3.380434782608696,Q3
undef,28.26086956521739,2.217391304347826,Q3
