Group,x_value,y_value,quadrant
sortal,97.82608695652172,3552,Q1
non_sortal,80.43478260869566,608,Q1
rigid,98.91304347826086,3143,Q1
non_rigid,85.86956521739131,940,Q1
abstracts,25.0,119,Q3
temporal,44.56521739130434,446,Q2
other,13.043478260869565,52,Q3
none,17.391304347826086,152,Q3
rigid_sortal,95.65217391304348,2846,Q1
rigid_non_sortal,71.73913043478261,297,Q4
non_rigid_sortal,72.82608695652173,629,Q1
non_rigid_non_sortal,51.08695652173913,311,Q3
undef,28.26086956521739,204,Q3
