Stereotype,DistanceFromOrigin,Rank
role,1436.0002003848574,1
subkind,1016.0002112454956,2
relator,905.0002627757943,3
kind,674.0005080850681,4
roleMixin,311.0003746876937,5
category,285.00083442729925,6
mode,278.00030795798136,7
type,136.00015737558218,8
phase,135.00028185111725,9
event,128.0006688448637,10
mixin,67.00056790715355,11
collective,65.00074087202398,12
quantity,33.00045039868475,13
enumeration,23.000232641122977,14
situation,11.000864737386488,15
datatype,10.002140080158613,16
quality,9.00026423181944,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
