model,year
abel2015petroleum-system,2015
abrahao2018agriculture-operations,2018
aguiar2018rdbs-o,2018
aguiar2019ooco,2019
aires2022valuenetworks-geo,2022
albuquerque2011ontobio,2016
alkhalaf2024,2023
alpinebits2022,2022
amaral2019rot,2022
amaral2020game-theory,2021
amaral2020rome,2020
amaral2022ethical-requirements,2022
andersson2018value-ascription,2018
andrade2023integracao,2023
aristotle-ontology2019,2021
barcelos2013normative-acts,2013
barcelos2015transport-networks,2015
barcelos2024resiliont,2024
barros2020programming,2020
bernasconi2021ontovcm,2022
bernasconi2023fair-principles,2023
brazilian-governmental-organizational-structures,2011
buchtela2020connection,2020
buridan-ontology2021,2021
carolla2014campus-management,2014
castro2012cloudvulnerability,2012
cgts2021sebim,2021
cmpo2017,2017
core-o2023,2023
dcat-mlt-ufo2023,2022
demori2023miscon,2023
derave2019dpo,2022
dpo2017,2017
duarte2020jogabilidade,2020
elghosh2020cargos,2020
elghosh2024eucaim,2024
elikan2018brand-identity,2019
eu-rent-refactored2022,2022
falduci2022non-consensual-pornography,2022
fernandez-cejas2022curie-o,2022
ferreira2015ontoemergeplan,2015
fischer2018ontorea,2019
fonseca2022incorporating,2022
formula-one2023,2023
fraller2019abc,2019
franco2018rpg,2018
fumagalli2022criminal-investigation,2022
gailly2016value,2016
garcia2022human-genome-events,2022
gomes2022digital-technology,2022
goncalves2011ecg,2022
grueau2013towards,2014
guarino2016value,2016
guarino2018rea,2018
guizzardi2005ontological,2005
guizzardi2020decision-making,2020
guizzardi2022ufo,2021
haridy2021egyptian-e-government,2021
heirbrant2023boekbazaar,2023
jacobs2022sdpontology,2022
junior2018o4c,2018
khantong2020ontology,2020
kostov2017towards,2017
kritz2020ontobg,2020
laurier2018rea,2018
lindeberg2022full-ontorights,2023
lindeberg2022simple-ontorights,2023
machacova2023gym,2023
maddalena2021ontocovid,2021
martinez2013human-genome,2013
mgic-antt2011,2015
moreira2018saref4health,2020
nardi2015ufo-s,2016
nascimento2023spacecon,2023
neves2020nwpontology,2020
neves2021grain-production,2021
niederkofler2019dssapple,2019
o3ontology2015,2015
oliveira2007collaboration,2007
oliveira2022rose,2022
pereira2015doacao-orgaos,2015
pereira2020ontotrans,2020
piest2024dsr-kb,2024
pinheiro2024api,2024
plato-ontology2019,2021
porello2020coex,2021
ppo-o2021,2021
public-expense-ontology2020,2020
quality-assurance-process-ontology2017,2017
ramirez2015userfeedback,2015
ramos2021bias,2021
repa2021public-administration,2021
rocha2023ciencia-aberta,2023
rodrigues2017urinary-profiles,2017
rodrigues2019ontocrime,2020
rodrigues2019turbidite,2019
romanenko2023what,2023
sales2018competition,2018
sales2018cover,2018
santos2020valuenetworks,2020
sariev2024maritime,2024
schoonderbeek2024eamon,2024
services2015,2015
sikora2021online-education,2021
silva2012itarchitecture,2012
silva2021sebim,2023
silva2023onto4caal,2023
silva2023onto4elev,2023
silveira2021oap,2021
spmo2017,2018
spo2017,2017
tesolin2023hint,2023
valaski2020medical-appointment,2020
van-ee2021modular,2021
van-wingerde2020smart-contracts,2020
vieira2020weathering,2020
weigand2021artifact,2021
xhani2023xmlpo,2024
zanetti2019orm-o,2019
zhou2017hazard-ontology-robotic-strolling,2017
zhou2017hazard-ontology-train-control,2017
model,year
abel2015petroleum-system,2015
abrahao2018agriculture-operations,2018
aguiar2018rdbs-o,2018
aguiar2019ooco,2019
aires2022valuenetworks-geo,2022
albuquerque2011ontobio,2016
alkhalaf2024,2023
alpinebits2022,2022
amaral2019rot,2022
amaral2020game-theory,2021
amaral2020rome,2020
amaral2022ethical-requirements,2022
andersson2018value-ascription,2018
andrade2023integracao,2023
aristotle-ontology2019,2021
barcelos2013normative-acts,2013
barcelos2015transport-networks,2015
barcelos2024resiliont,2024
barros2020programming,2020
bernasconi2021ontovcm,2022
bernasconi2023fair-principles,2023
brazilian-governmental-organizational-structures,2011
buchtela2020connection,2020
buridan-ontology2021,2021
carolla2014campus-management,2014
castro2012cloudvulnerability,2012
cgts2021sebim,2021
cmpo2017,2017
core-o2023,2023
dcat-mlt-ufo2023,2022
demori2023miscon,2023
derave2019dpo,2022
dpo2017,2017
duarte2020jogabilidade,2020
elghosh2020cargos,2020
elghosh2024eucaim,2024
elikan2018brand-identity,2019
eu-rent-refactored2022,2022
falduci2022non-consensual-pornography,2022
fernandez-cejas2022curie-o,2022
ferreira2015ontoemergeplan,2015
fischer2018ontorea,2019
fonseca2022incorporating,2022
formula-one2023,2023
fraller2019abc,2019
franco2018rpg,2018
fumagalli2022criminal-investigation,2022
gailly2016value,2016
garcia2022human-genome-events,2022
gomes2022digital-technology,2022
goncalves2011ecg,2022
grueau2013towards,2014
guarino2016value,2016
guarino2018rea,2018
guizzardi2005ontological,2005
guizzardi2020decision-making,2020
guizzardi2022ufo,2021
haridy2021egyptian-e-government,2021
heirbrant2023boekbazaar,2023
jacobs2022sdpontology,2022
junior2018o4c,2018
khantong2020ontology,2020
kostov2017towards,2017
kritz2020ontobg,2020
laurier2018rea,2018
lindeberg2022full-ontorights,2023
lindeberg2022simple-ontorights,2023
machacova2023gym,2023
maddalena2021ontocovid,2021
martinez2013human-genome,2013
mgic-antt2011,2015
moreira2018saref4health,2020
nardi2015ufo-s,2016
nascimento2023spacecon,2023
neves2020nwpontology,2020
neves2021grain-production,2021
niederkofler2019dssapple,2019
o3ontology2015,2015
oliveira2007collaboration,2007
oliveira2022rose,2022
pereira2015doacao-orgaos,2015
pereira2020ontotrans,2020
piest2024dsr-kb,2024
pinheiro2024api,2024
plato-ontology2019,2021
porello2020coex,2021
ppo-o2021,2021
public-expense-ontology2020,2020
quality-assurance-process-ontology2017,2017
ramirez2015userfeedback,2015
ramos2021bias,2021
repa2021public-administration,2021
rocha2023ciencia-aberta,2023
rodrigues2017urinary-profiles,2017
rodrigues2019ontocrime,2020
rodrigues2019turbidite,2019
romanenko2023what,2023
sales2018competition,2018
sales2018cover,2018
santos2020valuenetworks,2020
sariev2024maritime,2024
schoonderbeek2024eamon,2024
services2015,2015
sikora2021online-education,2021
silva2012itarchitecture,2012
silva2021sebim,2023
silva2023onto4caal,2023
silva2023onto4elev,2023
silveira2021oap,2021
spmo2017,2018
spo2017,2017
tesolin2023hint,2023
valaski2020medical-appointment,2020
van-ee2021modular,2021
van-wingerde2020smart-contracts,2020
vieira2020weathering,2020
weigand2021artifact,2021
xhani2023xmlpo,2024
zanetti2019orm-o,2019
zhou2017hazard-ontology-robotic-strolling,2017
zhou2017hazard-ontology-train-control,2017
