Stereotype,DistanceFromOrigin,Rank
role,49.517371233179546,1
subkind,35.034619650343075,2
relator,31.20706683608735,3
kind,23.24170855903284,4
roleMixin,10.724380734738853,5
category,9.828126921036082,6
mode,9.586406458492137,7
type,4.689757154387465,8
phase,4.655355056455098,9
event,4.4142265102701135,10
mixin,2.310712816832952,11
collective,2.241859363909576,12
quantity,1.1382228678359432,13
enumeration,0.7932541915504179,14
situation,0.37987032336529786,15
datatype,0.34621177794848396,16
quality,0.31051601122908445,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
