Stereotype,DistanceFromOrigin,Rank
role,1436.0000044777255,1
subkind,1016.0000047204135,2
relator,905.0000058718906,3
kind,674.0000113534834,4
roleMixin,311.0000083726362,5
category,285.0000186458275,6
mode,278.0000068815178,7
type,136.00000351665798,8
phase,135.00000629814622,9
event,128.0000149457957,10
mixin,67.00001269029373,11
collective,65.0000165553418,12
quantity,33.00001006450795,13
enumeration,23.00000519853735,14
situation,11.000019323841228,15
datatype,10.000047826434681,16
quality,9.000005904510292,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
