Stereotype,DistanceFromOrigin,Rank
kind,24.000318841542413,1
role,22.000292271413876,2
relator,20.00026570128534,3
category,20.00026570128534,3
subkind,19.000252416221073,4
roleMixin,14.00018599089974,5
mode,12.000159420771206,6
event,12.000159420771206,6
collective,9.000119565578403,7
mixin,8.000106280514137,8
phase,8.000106280514137,8
datatype,6.000079710385603,9
type,6.000079710385603,9
quantity,5.000066425321335,10
situation,4.0000531402570685,11
enumeration,3.0000398551928016,12
quality,2.0000265701285342,13
abstract,0.0,14
historicalRole,0.0,14
historicalRoleMixin,0.0,14
phaseMixin,0.0,14
