Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.22199256719366384,0.043963980845919313,-0.09686269552519597,0.37124155498859146,0.20193378517538316,0.2755008925975905,0.36164161490378627,0.17919909111031648,0.1239855428507437,0.012844109064026825,0.20777074126481945,0.01791208044511329,-0.004285741735518845
componentOf,0.22199256719366384,1.0,0.04588206841577176,-0.1267345479212745,0.05896746732836542,0.10398178225805933,0.24609155523362028,0.2303888697655812,0.2620561607737652,0.27011864598375107,0.2706569765407378,-0.0032492283207093305,-0.12409519016741521,-0.019561079918659397
creation,0.043963980845919313,0.04588206841577176,1.0,0.04119117537483499,0.17775280103039048,0.3100544330973197,0.3563344872688732,0.39629119828236076,-0.0349593888875771,0.11306700319041305,0.19275934729594224,0.6372296978095555,-0.020814617222961573,0.05208645821809624
derivation,-0.09686269552519597,-0.1267345479212745,0.04119117537483499,1.0,-0.11621463394735826,-0.16158138117016904,-0.20727246449410064,-0.22400598804723934,0.34072480059758786,0.25895876851234023,0.1510816305077488,-0.09880895020542033,0.07151617928310859,0.24984971833763067
externalDependence,0.37124155498859146,0.05896746732836542,0.17775280103039048,-0.11621463394735826,1.0,0.2986403437230241,0.48266237955587077,0.3991916158434239,-0.2932464329534438,0.04945651264496671,0.12450418673708874,0.23145516214312123,0.04656381361335652,0.09948426127982983
historicalDependence,0.20193378517538316,0.10398178225805933,0.3100544330973197,-0.16158138117016904,0.2986403437230241,1.0,0.5286562105327373,0.5068948093503841,-0.001747356484102454,0.03444781301378719,0.12038412361362541,0.5492212885698611,-0.18781068615824814,-9.981593699346813e-05
instantiation,0.2755008925975905,0.24609155523362028,0.3563344872688732,-0.20727246449410064,0.48266237955587077,0.5286562105327373,1.0,0.7672228271179334,-0.16280157973852455,0.03275728920842048,0.02851480262126826,0.4848579541457002,-0.08456530828826439,0.18762968289220458
manifestation,0.36164161490378627,0.2303888697655812,0.39629119828236076,-0.22400598804723934,0.3991916158434239,0.5068948093503841,0.7672228271179334,1.0,-0.1134873026030475,-0.004782062309538328,0.055253070639771355,0.563892348203586,-0.022139846828162123,0.293290393258552
material,0.17919909111031648,0.2620561607737652,-0.0349593888875771,0.34072480059758786,-0.2932464329534438,-0.001747356484102454,-0.16280157973852455,-0.1134873026030475,1.0,0.3281837327934593,0.2065986448085547,-0.05303009206840041,-0.3573718585032856,0.07056075180002673
mediation,0.1239855428507437,0.27011864598375107,0.11306700319041305,0.25895876851234023,0.04945651264496671,0.03444781301378719,0.03275728920842048,-0.004782062309538328,0.3281837327934593,1.0,0.3669066656963179,-0.10234137578159874,-0.2963478596156754,0.09850745627708346
memberOf,0.012844109064026825,0.2706569765407378,0.19275934729594224,0.1510816305077488,0.12450418673708874,0.12038412361362541,0.02851480262126826,0.055253070639771355,0.2065986448085547,0.3669066656963179,1.0,0.14129777897314375,-0.2933058891567184,0.21172362357646743
participation,0.20777074126481945,-0.0032492283207093305,0.6372296978095555,-0.09880895020542033,0.23145516214312123,0.5492212885698611,0.4848579541457002,0.563892348203586,-0.05303009206840041,-0.10234137578159874,0.14129777897314375,1.0,-0.020576636834839485,0.14411301803267038
none,0.01791208044511329,-0.12409519016741521,-0.020814617222961573,0.07151617928310859,0.04656381361335652,-0.18781068615824814,-0.08456530828826439,-0.022139846828162123,-0.3573718585032856,-0.2963478596156754,-0.2933058891567184,-0.020576636834839485,1.0,-0.029920465573794
other,-0.004285741735518845,-0.019561079918659397,0.05208645821809624,0.24984971833763067,0.09948426127982983,-9.981593699346813e-05,0.18762968289220458,0.293290393258552,0.07056075180002673,0.09850745627708346,0.21172362357646743,0.14411301803267038,-0.029920465573794,1.0
