Stereotype,x_value,y_value,quadrant
bringsAbout,12,0.0991735537190082,Q3
characterization,68,0.5619834710743802,Q1
comparative,6,0.0495867768595041,Q3
componentOf,45,0.371900826446281,Q1
creation,18,0.1487603305785124,Q1
derivation,39,0.3223140495867768,Q1
externalDependence,22,0.1818181818181818,Q1
historicalDependence,16,0.1322314049586777,Q3
instantiation,17,0.140495867768595,Q1
manifestation,12,0.0991735537190082,Q3
material,54,0.4462809917355372,Q1
mediation,77,0.6363636363636364,Q1
memberOf,31,0.256198347107438,Q1
participation,29,0.2396694214876033,Q1
participational,4,0.0330578512396694,Q3
subCollectionOf,6,0.0495867768595041,Q3
subQuantityOf,4,0.0330578512396694,Q3
termination,3,0.024793388429752,Q3
triggers,10,0.0826446280991735,Q3
