Construct Pair,Jaccard Similarity,Mutual Information
bringsAbout - characterization,0.1594202898550724,0.265031557208862
bringsAbout - comparative,0.2,0.0924203504669371
bringsAbout - componentOf,0.0961538461538461,0.1250609041823668
bringsAbout - creation,0.1538461538461538,0.0639733766173236
bringsAbout - derivation,0.0851063829787234,0.0525609147384435
bringsAbout - externalDependence,0.1724137931034483,0.1085389827005118
bringsAbout - historicalDependence,0.2727272727272727,0.1352819322986899
bringsAbout - instantiation,0.2083333333333333,0.1119980501543828
bringsAbout - manifestation,0.2631578947368421,0.1091881029468917
bringsAbout - material,0.1186440677966101,0.1761968588412978
bringsAbout - mediation,0.072289156626506,0.1812749609024777
bringsAbout - memberOf,0.048780487804878,0.0436117744587086
bringsAbout - participation,0.3666666666666666,0.2765295877951302
bringsAbout - participational,0.0666666666666666,0.0273664606324867
bringsAbout - subCollectionOf,0.0,0.005319238678576
bringsAbout - subQuantityOf,0.0,0.0035142417308388
bringsAbout - termination,0.1538461538461538,0.05488590409902
bringsAbout - triggers,0.5714285714285714,0.2048073121188344
characterization - comparative,0.0571428571428571,0.1422575106037757
characterization - componentOf,0.430379746835443,0.6631737647565835
characterization - creation,0.1780821917808219,0.271522868432899
characterization - derivation,0.3048780487804878,0.4042745757185795
characterization - externalDependence,0.2857142857142857,0.4242284212717249
characterization - historicalDependence,0.1830985915492957,0.3110430315379826
characterization - instantiation,0.2142857142857142,0.3543366789757137
characterization - manifestation,0.1594202898550724,0.262315035703186
characterization - material,0.4186046511627907,0.7725974714929127
characterization - mediation,0.6111111111111112,0.9898524800389236
characterization - memberOf,0.3026315789473684,0.3960820671677698
characterization - participation,0.3287671232876712,0.5370610785084242
characterization - participational,0.0434782608695652,0.0840279870079667
characterization - subCollectionOf,0.0571428571428571,0.130784484221396
characterization - subQuantityOf,0.0588235294117647,0.1333030878961278
characterization - termination,0.0142857142857142,0.0500926596678971
characterization - triggers,0.1470588235294117,0.2466419213096005
comparative - componentOf,0.108695652173913,0.1753978703304667
comparative - creation,0.1428571428571428,0.0825353810658433
comparative - derivation,0.0714285714285714,0.074806785843
comparative - externalDependence,0.0,0.0102342888872758
comparative - historicalDependence,0.1,0.0474859049344321
comparative - instantiation,0.0,0.007715873177233
comparative - manifestation,0.0588235294117647,0.0333376448320885
comparative - material,0.1111111111111111,0.2197548178302983
comparative - mediation,0.0779220779220779,0.1751294911445205
comparative - memberOf,0.1212121212121212,0.095034928516981
comparative - participation,0.1290322580645161,0.1050643201916686
comparative - participational,0.0,0.0017104399154017
comparative - subCollectionOf,0.0,0.0025883112118578
comparative - subQuantityOf,0.0,0.0017104399154017
comparative - termination,0.2857142857142857,0.0844876390440997
comparative - triggers,0.0666666666666666,0.0304805022144712
componentOf - creation,0.1454545454545454,0.204447787249319
componentOf - derivation,0.2537313432835821,0.3776749319505335
componentOf - externalDependence,0.135593220338983,0.1782298084031764
componentOf - historicalDependence,0.1509433962264151,0.1682772748347115
componentOf - instantiation,0.1923076923076923,0.2080093618828832
componentOf - manifestation,0.14,0.1449189520210586
componentOf - material,0.4142857142857143,0.6948855371567046
componentOf - mediation,0.3863636363636363,0.7535320118786574
