Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,derivation,material,mediation,participation,none_r,other_r
category,1.0,0.1055016955479006,0.08884688721071743,0.25650469700432754,-0.07536707771599221,0.23269504681457132,-0.11520649778986942,-0.15504554344455082,0.24806303761933435,0.20142364386704056,0.029023255078311307,-0.06518590429451722,0.37792997539096684,0.1902467567142344,-0.08507775573551205,0.13170737601826865,0.009204160423220226,0.19040212028267442,0.14350550392080452,-0.041558189975320806
event,0.1055016955479006,1.0,-0.30181124093967177,0.15862357000074515,0.013645085343597086,0.13076711678327244,-0.13919548275028404,-0.14978325481967233,0.30459955776321535,-0.02831180676860171,0.14120750628923978,0.0945998746757341,0.20218097007831135,-0.09617031692174124,-0.05473744818530548,-0.004203498837718388,-0.08330901243529722,0.6144040346191847,0.18395796892133107,0.1613377706409271
kind,0.08884688721071743,-0.30181124093967177,1.0,0.008972629891438795,0.22825148166904874,0.09440011057619288,0.3022310104305354,0.3277426756772112,-0.3030938954840651,0.5315704787580192,-0.12320981009995859,-0.027725603867580828,-0.05520769353777122,0.3918006655892205,0.1477996871966705,0.3239906852261645,0.2078106811533276,-0.2460674661566386,0.06804419149293411,-0.046407028692003055
mode,0.25650469700432754,0.15862357000074515,0.008972629891438795,1.0,0.04539580225810196,0.190834927182742,0.04475614076814994,0.08407069997337627,0.1851661222541197,0.13037407574275572,0.048855178559853184,-0.12404051580747721,0.5527856368546076,0.17137528838508562,-0.01189449221628729,0.0724293350583261,0.1996037964158438,0.08466684736317198,0.008178578593158663,-0.018862984406765725
phase,-0.07536707771599221,0.013645085343597086,0.22825148166904874,0.04539580225810196,1.0,0.09304766523027129,0.1669627904863986,0.3316759402917444,0.0181535809660264,0.2682869892397218,-0.058534897715384906,0.018336072664451634,-0.014493504522971903,0.10595881011724784,0.07987555483088644,0.12361274665407443,0.2825474563362361,-0.08939134666922044,-0.11979513220791928,0.019578835962400426
quality,0.23269504681457132,0.13076711678327244,0.09440011057619288,0.190834927182742,0.09304766523027129,1.0,0.140659693639661,0.018969120433640813,0.09037915211520058,0.28151592566490374,0.11445645103649037,-0.18146410316017544,0.6186618005920574,0.04764404283783948,-0.12278871670528362,0.036251689917532255,0.15771593095280514,0.2635426308989585,-0.07738310118867604,-0.06571243640311526
relator,-0.11520649778986942,-0.13919548275028404,0.3022310104305354,0.04475614076814994,0.1669627904863986,0.140659693639661,1.0,0.34236325495148084,0.13459805814331025,0.1959711727400365,-0.2528252860272517,-0.11280092977821729,0.15666277734988338,0.23978814209380148,0.24378592519440223,0.2074079063379113,0.6848872836374993,-0.03855552401568398,-0.09904625963346704,0.14571169317119487
role,-0.15504554344455082,-0.14978325481967233,0.3277426756772112,0.08407069997337627,0.3316759402917444,0.018969120433640813,0.34236325495148084,1.0,0.0032518426564823915,0.05953680513459027,0.009125465384576715,-0.0395165845000311,-0.00025664435339389785,0.04500207441566741,0.2321026992227931,0.10650950702390671,0.3540584521568625,-0.3193441133747169,0.05265364052984523,-0.039262319385182674
roleMixin,0.24806303761933435,0.30459955776321535,-0.3030938954840651,0.1851661222541197,0.0181535809660264,0.09037915211520058,0.13459805814331025,0.0032518426564823915,1.0,-0.09456100276852189,0.04396176719817553,-0.14051921118330574,0.2449663667194838,-0.048255702368024234,-0.01847343874344368,-0.08811264155533752,0.19397381074120987,0.2603825248698966,0.14073859291371763,0.08467396949876044
subkind,0.20142364386704056,-0.02831180676860171,0.5315704787580192,0.13037407574275572,0.2682869892397218,0.28151592566490374,0.1959711727400365,0.05953680513459027,-0.09456100276852189,1.0,-0.13796623398535846,-0.08492949696410235,0.11955184979056276,0.2884176932872869,-0.07057037154921987,0.2346032624367309,0.23112120911028855,-0.055346006328016194,-0.09458367525619496,-0.12846572400399234
none_c,0.029023255078311307,0.14120750628923978,-0.12320981009995859,0.048855178559853184,-0.058534897715384906,0.11445645103649037,-0.2528252860272517,0.009125465384576715,0.04396176719817553,-0.13796623398535846,1.0,0.09832413932655358,-0.014707357946823433,-0.08284392643082825,-0.06617276424442212,0.050546950540386146,-0.0818437413022469,0.0205398828507046,0.191044495641863,-0.09675345591272537
other_c,-0.06518590429451722,0.0945998746757341,-0.027725603867580828,-0.12404051580747721,0.018336072664451634,-0.18146410316017544,-0.11280092977821729,-0.0395165845000311,-0.14051921118330574,-0.08492949696410235,0.09832413932655358,1.0,-0.1655168163598078,-0.10104841550539786,0.041346960352658675,-0.08560454270462223,-0.24078083023283509,-0.1741180029190827,0.2781859976505169,0.09039248366667615
characterization,0.37792997539096684,0.20218097007831135,-0.05520769353777122,0.5527856368546076,-0.014493504522971903,0.6186618005920574,0.15666277734988338,-0.00025664435339389785,0.2449663667194838,0.11955184979056276,-0.014707357946823433,-0.1655168163598078,1.0,0.199803762637581,-0.04222728719537783,0.09744206495265004,0.2810160585474451,0.32093339522397385,-0.07360284468008674,0.06391945159716214
componentOf,0.1902467567142344,-0.09617031692174124,0.3918006655892205,0.17137528838508562,0.10595881011724784,0.04764404283783948,0.23978814209380148,0.04500207441566741,-0.048255702368024234,0.2884176932872869,-0.08284392643082825,-0.10104841550539786,0.199803762637581,1.0,-0.03734280348354329,0.22985323648332345,0.18513851277724028,-0.02825790074235291,-0.1668002073467601,-0.04264039768602286
derivation,-0.08507775573551205,-0.05473744818530548,0.1477996871966705,-0.01189449221628729,0.07987555483088644,-0.12278871670528362,0.24378592519440223,0.2321026992227931,-0.01847343874344368,-0.07057037154921987,-0.06617276424442212,0.041346960352658675,-0.04222728719537783,-0.03734280348354329,1.0,0.40961114254914605,0.32915618727660734,-0.07818954598152604,0.020679610882837554,0.28626393709340964
material,0.13170737601826865,-0.004203498837718388,0.3239906852261645,0.0724293350583261,0.12361274665407443,0.036251689917532255,0.2074079063379113,0.10650950702390671,-0.08811264155533752,0.2346032624367309,0.050546950540386146,-0.08560454270462223,0.09744206495265004,0.22985323648332345,0.40961114254914605,1.0,0.27360051390247514,-0.061632726423640455,-0.20224399208730512,0.11751884887005118
mediation,0.009204160423220226,-0.08330901243529722,0.2078106811533276,0.1996037964158438,0.2825474563362361,0.15771593095280514,0.6848872836374993,0.3540584521568625,0.19397381074120987,0.23112120911028855,-0.0818437413022469,-0.24078083023283509,0.2810160585474451,0.18513851277724028,0.32915618727660734,0.27360051390247514,1.0,0.019715167158820105,-0.29577667108577305,0.1551006058930532
participation,0.19040212028267442,0.6144040346191847,-0.2460674661566386,0.08466684736317198,-0.08939134666922044,0.2635426308989585,-0.03855552401568398,-0.3193441133747169,0.2603825248698966,-0.055346006328016194,0.0205398828507046,-0.1741180029190827,0.32093339522397385,-0.02825790074235291,-0.07818954598152604,-0.061632726423640455,0.019715167158820105,1.0,-0.07473046765028542,0.0942446662408637
none_r,0.14350550392080452,0.18395796892133107,0.06804419149293411,0.008178578593158663,-0.11979513220791928,-0.07738310118867604,-0.09904625963346704,0.05265364052984523,0.14073859291371763,-0.09458367525619496,0.191044495641863,0.2781859976505169,-0.07360284468008674,-0.1668002073467601,0.020679610882837554,-0.20224399208730512,-0.29577667108577305,-0.07473046765028542,1.0,-0.1150633486407566
other_r,-0.041558189975320806,0.1613377706409271,-0.046407028692003055,-0.018862984406765725,0.019578835962400426,-0.06571243640311526,0.14571169317119487,-0.039262319385182674,0.08467396949876044,-0.12846572400399234,-0.09675345591272537,0.09039248366667615,0.06391945159716214,-0.04264039768602286,0.28626393709340964,0.11751884887005118,0.1551006058930532,0.0942446662408637,-0.1150633486407566,1.0
