Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,derivation,material,mediation,participation,none_r,other_r
category,1.0,0.08643295284087217,0.04988196601760009,0.2860714218851302,0.06994356657324603,0.2186690484379583,0.06673902401554165,0.05454249953534229,0.25009642949147154,0.23009371914537696,0.03561419644549933,0.07502362970457471,0.3519336422422211,0.21481665057685553,0.06774642343643328,0.08806556704511048,0.01892010210094462,0.130772660121829,0.132479283355376,0.05954451760419345
event,0.08643295284087217,1.0,0.2818783038259592,0.16774981536146175,0.009395315519720974,0.11369217105830116,0.1429691596985464,0.15401336260797396,0.27705101966210915,0.026543698787746716,0.09044219792651616,0.114578584474279,0.18174188691085227,0.10728268373743592,0.006715106369277314,0.011117409313445582,0.09459079729998164,0.597520085330198,0.21361477863691353,0.14269856831570207
kind,0.04988196601760009,0.2818783038259592,1.0,0.016996945489707087,0.24936830792997547,0.06684850424290506,0.2173051377671553,0.3960485341501409,0.23668872187159268,0.44672217243744516,0.08769609930037936,0.022192189831997177,0.03378773872778436,0.25557688196934963,0.21428749035868344,0.333706258228214,0.2118778845557215,0.24995215896107667,0.06465346510576082,0.0780184818919348
mode,0.2860714218851302,0.16774981536146175,0.016996945489707087,1.0,0.0775904051491087,0.20547051006397707,0.08541732151616048,0.08604573488412812,0.21601100848115387,0.15624808174843507,0.053198271152281665,0.12383877549288412,0.532669487278672,0.15075588381639587,0.022788802830752734,0.08062021412918959,0.22410946333253276,0.07937247024673186,0.014884613292082126,0.04178375881725961
phase,0.06994356657324603,0.009395315519720974,0.24936830792997547,0.0775904051491087,1.0,0.08852058306780994,0.10185798029412103,0.2640875455922479,0.024305578119208405,0.3035051606873295,0.055856248810501156,0.02818937791846128,0.006821366556286851,0.12281862212344935,0.08061335443617507,0.11210003505987047,0.20005265164166688,0.07823175267793789,0.05227073971778341,0.01880658342989828
quality,0.2186690484379583,0.11369217105830116,0.06684850424290506,0.20547051006397707,0.08852058306780994,1.0,0.16787559899918217,0.05027637592726932,0.08858150318000325,0.18430480692335505,0.12562804556466078,0.16914575146423397,0.569808667311924,0.012668518345430809,0.08709021832983511,0.016980292661604637,0.13655914617999199,0.24356068623317065,0.059963854052430654,0.07118432307594294
relator,0.06673902401554165,0.1429691596985464,0.2173051377671553,0.08541732151616048,0.10185798029412103,0.16787559899918217,1.0,0.21516517520583023,0.13770640833893677,0.16654458730461888,0.24312295364607062,0.1315457477196903,0.20789123857504838,0.12206722298416377,0.2830445511387835,0.20791771577900905,0.6943508158740004,0.021520878538321186,0.07435780742012915,0.09562636329793786
role,0.05454249953534229,0.15401336260797396,0.3960485341501409,0.08604573488412812,0.2640875455922479,0.05027637592726932,0.21516517520583023,1.0,0.007956717619931808,0.03876308615504376,0.01406946421516552,0.05273442239403174,0.002265071776395008,0.021397940971342518,0.2066461734602387,0.11139874456090454,0.19388766102721042,0.3022492435693879,0.012108758121912496,0.02760527795368878
roleMixin,0.25009642949147154,0.27705101966210915,0.23668872187159268,0.21601100848115387,0.024305578119208405,0.08858150318000325,0.13770640833893677,0.007956717619931808,1.0,0.027155770134871988,0.05739427585468525,0.14991031348445516,0.20202998357461263,0.021704997998589968,0.017931255605516193,0.08289654981062032,0.187967594789956,0.22180123778332508,0.09695980195985314,0.03971081676373938
subkind,0.23009371914537696,0.026543698787746716,0.44672217243744516,0.15624808174843507,0.3035051606873295,0.18430480692335505,0.16654458730461888,0.03876308615504376,0.027155770134871988,1.0,0.133908638705316,0.07178398819002771,0.08378211516197132,0.26973073393227975,0.01374445251112146,0.1802964547532769,0.20177701775100307,0.0886528198429972,0.05163743696556114,0.06309341669457996
none_c,0.03561419644549933,0.09044219792651616,0.08769609930037936,0.053198271152281665,0.055856248810501156,0.12562804556466078,0.24312295364607062,0.01406946421516552,0.05739427585468525,0.133908638705316,1.0,0.09905322400521774,0.020562266738182792,0.0664499519577781,0.0792967470757393,0.04368496207329836,0.06159187397822725,0.019993922271827322,0.13766252741899565,0.08718848428255765
other_c,0.07502362970457471,0.114578584474279,0.022192189831997177,0.12383877549288412,0.02818937791846128,0.16914575146423397,0.1315457477196903,0.05273442239403174,0.14991031348445516,0.07178398819002771,0.09905322400521774,1.0,0.13100096625290245,0.08370609396147173,0.015105722656076228,0.0880464588977498,0.2396171560019361,0.1772316496148731,0.22468566406418117,0.08683845099668087
