model,DistanceFromOrigin,Rank
piest2024dsr-kb,106.82696288858914,1.0
oliveira2022rose,106.60675400742676,2.0
sariev2024maritime,103.60019305001319,3.0
maddalena2021ontocovid,103.24727599312246,4.0
bernasconi2021ontovcm,101.31633629380802,5.0
plato-ontology2019,101.13851887386922,6.0
barcelos2024resiliont,97.65244492586962,7.0
lindeberg2022simple-ontorights,91.35097153287424,8.0
silva2012itarchitecture,90.24965373894794,9.0
rodrigues2017urinary-profiles,88.3911760301898,10.0
sikora2021online-education,87.11486669908874,11.0
alpinebits2022,86.33075929238663,12.0
cmpo2017,85.9127464349732,13.0
sales2018cover,85.63293758829018,14.0
eu-rent-refactored2022,82.80096617793781,15.0
guizzardi2020decision-making,81.46778504415104,16.0
niederkofler2019dssapple,80.45495634204272,17.0
buridan-ontology2021,75.66372975210778,18.0
pereira2020ontotrans,75.59100475585703,19.0
amaral2020rome,75.28612089887484,20.0
guizzardi2022ufo,73.78346698278686,21.0
ppo-o2021,72.42237223399962,22.0
heirbrant2023boekbazaar,72.42237223399962,22.0
vieira2020weathering,71.56116265125938,23.0
weigand2021artifact,69.42621983083913,24.0
kostov2017towards,67.7421582177598,25.0
amaral2019rot,65.79513659838392,26.0
tesolin2023hint,65.21502894272147,27.0
dpo2017,64.81512169239521,28.0
aguiar2019ooco,64.00781202322104,29.0
romanenko2023what,63.13477647065839,30.0
ramirez2015userfeedback,61.61168720299745,31.0
fraller2019abc,60.30754513325841,32.0
ramos2021bias,57.4543296888929,33.0
abrahao2018agriculture-operations,57.38466694161429,34.0
aires2022valuenetworks-geo,57.38466694161429,34.0
van-wingerde2020smart-contracts,57.3149195236284,35.0
core-o2023,55.758407437802596,36.0
fonseca2022incorporating,55.154328932550705,37.0
nardi2015ufo-s,55.072679252057455,38.0
bernasconi2023fair-principles,54.378304497290095,39.0
aguiar2018rdbs-o,53.009433122794285,40.0
andrade2023integracao,52.15361924162119,41.0
guizzardi2005ontological,49.73932046178355,42.0
public-expense-ontology2020,49.39635614091387,43.0
barcelos2013normative-acts,48.46648326421054,44.0
elghosh2024eucaim,48.41487374764082,45.0
silva2021sebim,47.41307836451879,46.0
falduci2022non-consensual-pornography,46.61544808322666,47.0
quality-assurance-process-ontology2017,46.400431032480725,48.0
machacova2023gym,46.06517122512408,49.0
pinheiro2024api,44.04543109109048,50.0
spmo2017,43.41658669218482,51.0
elikan2018brand-identity,43.139309220245984,52.0
dcat-mlt-ufo2023,43.139309220245984,52.0
castro2012cloudvulnerability,41.86884283091664,53.0
neves2020nwpontology,41.340053217188775,54.0
guarino2016value,41.14608122288197,55.0
demori2023miscon,41.10960958218893,56.0
sales2018competition,41.10960958218893,56.0
porello2020coex,40.718546143004666,57.0
silveira2021oap,40.607881008493905,58.0
zanetti2019orm-o,40.496913462633174,59.0
jacobs2022sdpontology,40.496913462633174,59.0
zhou2017hazard-ontology-train-control,39.05124837953327,60.0
khantong2020ontology,37.20215047547655,61.0
fernandez-cejas2022curie-o,35.805027579936315,62.0
abel2015petroleum-system,35.805027579936315,62.0
haridy2021egyptian-e-government,35.77708763999664,63.0
franco2018rpg,33.24154027718932,64.0
rocha2023ciencia-aberta,32.55764119219941,65.0
cgts2021sebim,31.016124838541646,66.0
amaral2020game-theory,29.732137494637012,67.0
amaral2022ethical-requirements,29.410882339705484,68.0
laurier2018rea,29.206163733020468,69.0
fischer2018ontorea,29.206163733020468,69.0
formula-one2023,29.068883707497267,70.0
carolla2014campus-management,28.600699292150182,71.0
duarte2020jogabilidade,28.319604517012593,72.0
oliveira2007collaboration,28.284271247461902,73.0
repa2021public-administration,26.570660511172846,74.0
pereira2015doacao-orgaos,26.570660511172846,74.0
gomes2022digital-technology,26.1725046566048,75.0
neves2021grain-production,24.08318915758459,76.0
nascimento2023spacecon,23.430749027719962,77.0
buchtela2020connection,23.021728866442675,78.0
moreira2018saref4health,21.470910553583888,79.0
andersson2018value-ascription,21.400934559032695,80.0
gailly2016value,19.209372712298546,81.0
zhou2017hazard-ontology-robotic-strolling,19.1049731745428,82.0
elghosh2020cargos,18.027756377319946,83.0
martinez2013human-genome,18.027756377319946,83.0
garcia2022human-genome-events,17.0,84.0
brazilian-governmental-organizational-structures,16.55294535724685,85.0
guarino2018rea,16.278820596099706,86.0
santos2020valuenetworks,16.15549442140351,87.0
fumagalli2022criminal-investigation,13.45362404707371,88.0
grueau2013towards,13.341664064126334,89.0
junior2018o4c,12.083045973594572,90.0
barros2020programming,12.0,91.0
valaski2020medical-appointment,9.899494936611665,92.0
