model,DistanceFromOrigin,Rank
piest2024dsr-kb,106.82696288858914,1.0
bernasconi2021ontovcm,98.08159868191383,2.0
sariev2024maritime,88.25531145489205,3.0
barcelos2024resiliont,87.32124598286491,4.0
lindeberg2022simple-ontorights,86.2670273047588,5.0
plato-ontology2019,85.23496934944014,6.0
alpinebits2022,85.0881895447306,7.0
silva2012itarchitecture,84.2140130857092,8.0
eu-rent-refactored2022,81.60882305241266,9.0
niederkofler2019dssapple,78.39005038906404,10.0
sikora2021online-education,78.2368199762746,11.0
sales2018cover,77.42092740338364,12.0
oliveira2022rose,77.42092740338364,12.0
maddalena2021ontocovid,75.31268153505093,13.0
rodrigues2017urinary-profiles,75.16648189186454,14.0
guizzardi2022ufo,72.20110802473879,15.0
weigand2021artifact,65.11528238439882,16.0
buridan-ontology2021,64.35060217278468,17.0
amaral2020rome,61.220911460055866,18.0
romanenko2023what,60.83584469702052,19.0
ppo-o2021,60.41522986797286,20.0
aguiar2019ooco,58.52349955359813,21.0
ramirez2015userfeedback,57.30619512757761,22.0
amaral2019rot,56.60388679233962,23.0
fonseca2022incorporating,55.154328932550705,24.0
nardi2015ufo-s,55.072679252057455,25.0
ramos2021bias,54.56189146281496,26.0
bernasconi2023fair-principles,54.378304497290095,27.0
cmpo2017,53.33854141237835,28.0
kostov2017towards,52.08646657242167,29.0
fraller2019abc,51.73973328110612,30.0
andrade2023integracao,51.31276644267,31.0
barcelos2013normative-acts,48.46648326421054,32.0
elghosh2024eucaim,48.41487374764082,33.0
guizzardi2005ontological,47.853944456021594,34.0
heirbrant2023boekbazaar,46.09772228646444,35.0
machacova2023gym,46.06517122512408,36.0
aguiar2018rdbs-o,43.04648650006177,37.0
public-expense-ontology2020,42.42640687119285,38.0
silva2021sebim,42.1070065428546,39.0
castro2012cloudvulnerability,41.23105625617661,40.0
falduci2022non-consensual-pornography,41.10960958218893,41.0
guizzardi2020decision-making,41.036569057366385,42.0
pinheiro2024api,41.036569057366385,42.0
dpo2017,40.607881008493905,43.0
vieira2020weathering,40.311288741492746,44.0
van-wingerde2020smart-contracts,39.0,45.0
zanetti2019orm-o,38.47076812334269,46.0
elikan2018brand-identity,38.41874542459709,47.0
silveira2021oap,37.21558813185679,48.0
haridy2021egyptian-e-government,35.77708763999664,49.0
core-o2023,35.510561809129406,50.0
neves2020nwpontology,35.0,51.0
pereira2020ontotrans,35.0,51.0
fernandez-cejas2022curie-o,34.132096331752024,52.0
jacobs2022sdpontology,34.0,53.0
demori2023miscon,33.61547262794322,54.0
abrahao2018agriculture-operations,32.55764119219941,55.0
aires2022valuenetworks-geo,32.55764119219941,55.0
abel2015petroleum-system,31.38470965295043,56.0
porello2020coex,31.064449134018133,57.0
guarino2016value,30.805843601498726,58.0
khantong2020ontology,30.0,59.0
cgts2021sebim,29.154759474226502,60.0
formula-one2023,27.85677655436824,61.0
sales2018competition,27.0,62.0
fischer2018ontorea,26.1725046566048,63.0
franco2018rpg,25.942243542145693,64.0
pereira2015doacao-orgaos,25.709920264364882,65.0
dcat-mlt-ufo2023,25.632011235952593,66.0
repa2021public-administration,25.079872407968907,67.0
amaral2020game-theory,25.059928172283335,68.0
zhou2017hazard-ontology-train-control,25.0,69.0
rocha2023ciencia-aberta,24.73863375370596,70.0
tesolin2023hint,24.413111231467404,71.0
duarte2020jogabilidade,24.20743687382041,72.0
amaral2022ethical-requirements,24.186773244895647,73.0
laurier2018rea,23.021728866442675,74.0
carolla2014campus-management,21.400934559032695,75.0
oliveira2007collaboration,20.0,76.0
gomes2022digital-technology,19.924858845171276,77.0
moreira2018saref4health,19.697715603592208,78.0
buchtela2020connection,19.0,79.0
martinez2013human-genome,18.027756377319946,80.0
neves2021grain-production,18.0,81.0
spmo2017,17.11724276862369,82.0
garcia2022human-genome-events,16.55294535724685,83.0
brazilian-governmental-organizational-structures,16.55294535724685,83.0
quality-assurance-process-ontology2017,16.0312195418814,84.0
nascimento2023spacecon,16.0,85.0
santos2020valuenetworks,15.0,86.0
elghosh2020cargos,14.142135623730951,87.0
fumagalli2022criminal-investigation,13.45362404707371,88.0
andersson2018value-ascription,13.341664064126334,89.0
zhou2017hazard-ontology-robotic-strolling,13.0,90.0
junior2018o4c,12.083045973594572,91.0
gailly2016value,12.0,92.0
barros2020programming,12.0,92.0
guarino2018rea,11.704699910719626,93.0
valaski2020medical-appointment,9.899494936611665,94.0
grueau2013towards,6.0,95.0
