Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,151,1.2479338842975207,30,0.24793388429752067,0.0003432574908559387,0.005851375073142188
abstractNature,0,0.0,0,0.0,0.0,0.0
aggregationKind,19346,159.88429752066116,120,0.9917355371900827,0.043977876941052915,0.023405500292568753
attribute,1762,14.561983471074381,43,0.35537190082644626,0.004005428469458039,0.00838697093817047
begin,0,0.0,0,0.0,0.0,0.0
bringsAbout,30,0.24793388429752067,12,0.09917355371900827,6.819685248793484e-05,0.0023405500292568754
cardinality,16983,140.35537190082644,120,0.9917355371900827,0.03860623819341991,0.023405500292568753
Cardinality,16983,140.35537190082644,120,0.9917355371900827,0.03860623819341991,0.023405500292568753
cardinalityValue,16983,140.35537190082644,120,0.9917355371900827,0.03860623819341991,0.023405500292568753
categorizer,3,0.024793388429752067,2,0.01652892561983471,6.819685248793484e-06,0.0003900916715428126
category,588,4.859504132231405,86,0.7107438016528925,0.001336658308763523,0.01677394187634094
characterization,561,4.636363636363637,68,0.5619834710743802,0.0012752811415243815,0.013263116832455627
Class,12181,100.6694214876033,121,1.0,0.02769019533851781,0.02360054612834016
collective,503,4.1570247933884295,44,0.36363636363636365,0.001143433893381041,0.008582016773941877
collectiveNature,0,0.0,0,0.0,0.0,0.0
comparative,37,0.30578512396694213,6,0.049586776859504134,8.41094514017863e-05,0.0011702750146284377
componentOf,573,4.735537190082645,45,0.371900826446281,0.0013025598825195555,0.008777062609713282
composite,947,7.8264462809917354,72,0.5950413223140496,0.0021527473102024765,0.014043300175541252
creation,61,0.5041322314049587,18,0.1487603305785124,0.00013866693339213416,0.003510825043885313
datatype,88,0.7272727272727273,26,0.21487603305785125,0.00020004410063127553,0.005071191730056563
derivation,228,1.884297520661157,39,0.32231404958677684,0.0005182960789083048,0.0076067875950848445
description,1953,16.140495867768596,21,0.17355371900826447,0.004439615096964558,0.004095962551199532
end,0,0.0,0,0.0,0.0,0.0
enumeration,65,0.5371900826446281,8,0.06611570247933884,0.00014775984705719215,0.0015603666861712503
event,951,7.859504132231405,54,0.4462809917355372,0.0021618402238675343,0.010532475131655939
eventNature,0,0.0,0,0.0,0.0,0.0
externalDependence,77,0.6363636363636364,22,0.18181818181818182,0.00017503858805236608,0.004291008386970939
extrinsicModeNature,0,0.0,0,0.0,0.0,0.0
functionalComplexNature,0,0.0,0,0.0,0.0,0.0
general,8582,70.92561983471074,117,0.9669421487603306,0.019508846268381893,0.022820362785254535
generalization,1476,12.198347107438016,72,0.5950413223140496,0.003355285142406394,0.014043300175541252
Generalization,8582,70.92561983471074,117,0.9669421487603306,0.019508846268381893,0.022820362785254535
GeneralizationSet,557,4.603305785123967,72,0.5950413223140496,0.0012661882278593235,0.014043300175541252
historicalDependence,44,0.36363636363636365,16,0.1322314049586777,0.00010002205031563776,0.0031207333723425007
historicalRole,23,0.19008264462809918,4,0.03305785123966942,5.228425357408338e-05,0.0007801833430856252
historicalRoleMixin,9,0.0743801652892562,3,0.024793388429752067,2.045905574638045e-05,0.0005851375073142189
instantiation,69,0.5702479338842975,17,0.14049586776859505,0.00015685276072225013,0.003315779208113907
intrinsicModeNature,0,0.0,0,0.0,0.0,0.0
isAbstract,12181,100.6694214876033,121,1.0,0.02769019533851781,0.02360054612834016
isComplete,557,4.603305785123967,72,0.5950413223140496,0.0012661882278593235,0.014043300175541252
isDerived,40319,333.21487603305786,121,1.0,0.09165429651536816,0.02360054612834016
isDisjoint,557,4.603305785123967,72,0.5950413223140496,0.0012661882278593235,0.014043300175541252
isExtensional,12181,100.6694214876033,121,1.0,0.02769019533851781,0.02360054612834016
isOrdered,19346,159.88429752066116,120,0.9917355371900827,0.043977876941052915,0.023405500292568753
isPowertype,12181,100.6694214876033,121,1.0,0.02769019533851781,0.02360054612834016
isReadOnly,19346,159.88429752066116,120,0.9917355371900827,0.043977876941052915,0.023405500292568753
kind,1598,13.206611570247935,101,0.8347107438016529,0.0036326190091906627,0.019699629412912034
literal,215,1.7768595041322315,8,0.06611570247933884,0.0004887441094968664,0.0015603666861712503
Literal,215,1.7768595041322315,8,0.06611570247933884,0.0004887441094968664,0.0015603666861712503
lowerBound,12934,106.89256198347107,112,0.9256198347107438,0.029401936335964975,0.021845133606397504
manifestation,34,0.2809917355371901,12,0.09917355371900827,7.728976615299281e-05,0.0023405500292568754
material,636,5.256198347107438,54,0.4462809917355372,0.0014457732727442185,0.010532475131655939
mediation,2021,16.702479338842974,77,0.6363636363636364,0.004594194629270544,0.015018529354398284
memberOf,203,1.677685950413223,31,0.256198347107438,0.0004614653685016924,0.006046420908913595
mixin,84,0.6942148760330579,22,0.18181818181818182,0.00019095118696621754,0.004291008386970939
mode,545,4.5041322314049586,58,0.4793388429752066,0.0012389094868641495,0.011312658474741564
name,23937,197.82644628099175,121,1.0,0.05441426860012321,0.02360054612834016
none,18050,149.17355371900825,120,0.9917355371900827,0.04103177291357413,0.023405500292568753
Note,0,0.0,0,0.0,0.0,0.0
order,12181,100.6694214876033,121,1.0,0.02769019533851781,0.02360054612834016
participation,229,1.8925619834710743,31,0.256198347107438,0.0005205693073245692,0.006046420908913595
participational,17,0.14049586776859505,4,0.03305785123966942,3.8644883076496406e-05,0.0007801833430856252
phase,332,2.743801652892562,41,0.33884297520661155,0.0007547118341998122,0.007996879266627658
phaseMixin,20,0.1652892561983471,8,0.06611570247933884,4.5464568325289896e-05,0.0015603666861712503
property,0,0.0,0,0.0,0.0,0.0
Property,19346,159.88429752066116,120,0.9917355371900827,0.043977876941052915,0.023405500292568753
propertyType,18022,148.94214876033058,120,0.9917355371900827,0.040968122517918724,0.023405500292568753
quality,554,4.578512396694215,44,0.36363636363636365,0.0012593685426105302,0.008582016773941877
qualityNature,0,0.0,0,0.0,0.0,0.0
quantity,193,1.5950413223140496,23,0.19008264462809918,0.0004387330843390475,0.004486054222742344
quantityNature,0,0.0,0,0.0,0.0,0.0
redefinesProperty,2,0.01652892561983471,1,0.008264462809917356,4.5464568325289896e-06,0.0001950458357714063
Relation,8792,72.66115702479338,120,0.9917355371900827,0.019986224235797437,0.023405500292568753
relationEnd,17584,145.32231404958677,120,0.9917355371900827,0.039972448471594875,0.023405500292568753
relator,2686,22.198347107438018,92,0.7603305785123967,0.006105891526086433,0.017944216890969377
relatorNature,0,0.0,0,0.0,0.0,0.0
restrictedTo,9464,78.21487603305785,119,0.9834710743801653,0.02151383373152718,0.02321045445679735
role,1859,15.363636363636363,84,0.6942148760330579,0.004225931625835695,0.016383850204798128
roleMixin,577,4.768595041322314,54,0.4462809917355372,0.0013116527961846134,0.010532475131655939
shared,349,2.884297520661157,68,0.5619834710743802,0.0007933567172763086,0.013263116832455627
situation,169,1.396694214876033,22,0.18181818181818182,0.0003841756023486996,0.004291008386970939
situationNature,0,0.0,0,0.0,0.0,0.0
sourceEnd,8792,72.66115702479338,120,0.9917355371900827,0.019986224235797437,0.023405500292568753
specific,8582,70.92561983471074,117,0.9669421487603306,0.019508846268381893,0.022820362785254535
stereotype,18362,151.7520661157025,121,1.0,0.041741020179448654,0.02360054612834016
subCollectionOf,28,0.23140495867768596,6,0.049586776859504134,6.365039565540585e-05,0.0011702750146284377
subkind,2032,16.793388429752067,88,0.7272727272727273,0.004619200141849454,0.017164033547883754
subQuantityOf,14,0.11570247933884298,4,0.03305785123966942,3.1825197827702924e-05,0.0007801833430856252
subsetsProperty,6,0.049586776859504134,1,0.008264462809917356,1.3639370497586969e-05,0.0001950458357714063
targetEnd,8792,72.66115702479338,120,0.9917355371900827,0.019986224235797437,0.023405500292568753
termination,5,0.04132231404958678,3,0.024793388429752067,1.1366142081322474e-05,0.0005851375073142189
triggers,16,0.1322314049586777,10,0.08264462809917356,3.6371654660231916e-05,0.0019504583577140628
type,428,3.5371900826446283,26,0.21487603305785125,0.0009729417621612037,0.005071191730056563
typeNature,0,0.0,0,0.0,0.0,0.0
upperBound,12934,106.89256198347107,112,0.9256198347107438,0.029401936335964975,0.021845133606397504
