Construct Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'abstractNature')",0.0,0.0
"('abstract', 'aggregationKind')",0.25,0.4
"('abstract', 'attribute')",0.4897959183673469,0.6575342465753424
"('abstract', 'begin')",0.0,0.0
"('abstract', 'bringsAbout')",0.13513513513513514,0.23809523809523808
"('abstract', 'cardinality')",0.25,0.4
"('abstract', 'Cardinality')",0.25,0.4
"('abstract', 'cardinalityValue')",0.25,0.4
"('abstract', 'categorizer')",0.03225806451612903,0.0625
"('abstract', 'category')",0.2608695652173913,0.41379310344827586
"('abstract', 'characterization')",0.2727272727272727,0.42857142857142855
"('abstract', 'Class')",0.24793388429752067,0.3973509933774834
"('abstract', 'collective')",0.2982456140350877,0.4594594594594595
"('abstract', 'collectiveNature')",0.0,0.0
"('abstract', 'comparative')",0.125,0.2222222222222222
"('abstract', 'componentOf')",0.3157894736842105,0.48
"('abstract', 'composite')",0.25925925925925924,0.4117647058823529
"('abstract', 'creation')",0.11627906976744186,0.20833333333333334
"('abstract', 'datatype')",0.8064516129032258,0.8928571428571429
"('abstract', 'derivation')",0.1694915254237288,0.2898550724637681
"('abstract', 'description')",0.18604651162790697,0.3137254901960784
"('abstract', 'end')",0.0,0.0
"('abstract', 'enumeration')",0.26666666666666666,0.42105263157894735
"('abstract', 'event')",0.23529411764705882,0.38095238095238093
"('abstract', 'eventNature')",0.0,0.0
"('abstract', 'externalDependence')",0.10638297872340426,0.19230769230769232
"('abstract', 'extrinsicModeNature')",0.0,0.0
"('abstract', 'functionalComplexNature')",0.0,0.0
"('abstract', 'general')",0.2564102564102564,0.40816326530612246
"('abstract', 'generalization')",0.2,0.3333333333333333
"('abstract', 'Generalization')",0.2564102564102564,0.40816326530612246
"('abstract', 'GeneralizationSet')",0.2,0.3333333333333333
"('abstract', 'historicalDependence')",0.21052631578947367,0.34782608695652173
"('abstract', 'historicalRole')",0.030303030303030304,0.058823529411764705
"('abstract', 'historicalRoleMixin')",0.06451612903225806,0.12121212121212122
"('abstract', 'instantiation')",0.14634146341463414,0.2553191489361702
"('abstract', 'intrinsicModeNature')",0.0,0.0
"('abstract', 'isAbstract')",0.24793388429752067,0.3973509933774834
"('abstract', 'isComplete')",0.2,0.3333333333333333
"('abstract', 'isDerived')",0.24793388429752067,0.3973509933774834
"('abstract', 'isDisjoint')",0.2,0.3333333333333333
"('abstract', 'isExtensional')",0.24793388429752067,0.3973509933774834
"('abstract', 'isOrdered')",0.25,0.4
"('abstract', 'isPowertype')",0.24793388429752067,0.3973509933774834
"('abstract', 'isReadOnly')",0.25,0.4
"('abstract', 'kind')",0.25961538461538464,0.4122137404580153
"('abstract', 'literal')",0.22580645161290322,0.3684210526315789
"('abstract', 'Literal')",0.22580645161290322,0.3684210526315789
"('abstract', 'lowerBound')",0.25663716814159293,0.4084507042253521
"('abstract', 'manifestation')",0.07692307692307693,0.14285714285714285
"('abstract', 'material')",0.23529411764705882,0.38095238095238093
"('abstract', 'mediation')",0.22988505747126436,0.37383177570093457
"('abstract', 'memberOf')",0.24489795918367346,0.39344262295081966
"('abstract', 'mixin')",0.18181818181818182,0.3076923076923077
"('abstract', 'mode')",0.2571428571428571,0.4090909090909091
"('abstract', 'name')",0.24793388429752067,0.3973509933774834
"('abstract', 'none')",0.25,0.4
"('abstract', 'Note')",0.0,0.0
