Construct,Ubiquity Index
abstract,0.24793388429752067
abstractNature,0.0
aggregationKind,0.9917355371900827
attribute,0.35537190082644626
begin,0.0
bringsAbout,0.09917355371900827
cardinality,0.9917355371900827
Cardinality,0.9917355371900827
cardinalityValue,0.9917355371900827
categorizer,0.01652892561983471
category,0.7107438016528925
characterization,0.5619834710743802
Class,1.0
collective,0.36363636363636365
collectiveNature,0.0
comparative,0.049586776859504134
componentOf,0.371900826446281
composite,0.5950413223140496
creation,0.1487603305785124
datatype,0.21487603305785125
derivation,0.32231404958677684
description,0.17355371900826447
end,0.0
enumeration,0.06611570247933884
event,0.4462809917355372
eventNature,0.0
externalDependence,0.18181818181818182
extrinsicModeNature,0.0
functionalComplexNature,0.0
general,0.9669421487603306
generalization,0.5950413223140496
Generalization,0.9669421487603306
GeneralizationSet,0.5950413223140496
historicalDependence,0.1322314049586777
historicalRole,0.03305785123966942
historicalRoleMixin,0.024793388429752067
instantiation,0.14049586776859505
intrinsicModeNature,0.0
isAbstract,1.0
isComplete,0.5950413223140496
isDerived,1.0
isDisjoint,0.5950413223140496
isExtensional,1.0
isOrdered,0.9917355371900827
isPowertype,1.0
isReadOnly,0.9917355371900827
kind,0.8347107438016529
literal,0.06611570247933884
Literal,0.06611570247933884
lowerBound,0.9256198347107438
manifestation,0.09917355371900827
material,0.4462809917355372
mediation,0.6363636363636364
memberOf,0.256198347107438
mixin,0.18181818181818182
mode,0.4793388429752066
name,1.0
none,0.9917355371900827
Note,0.0
order,1.0
participation,0.256198347107438
participational,0.03305785123966942
phase,0.33884297520661155
phaseMixin,0.06611570247933884
property,0.0
Property,0.9917355371900827
propertyType,0.9917355371900827
quality,0.36363636363636365
qualityNature,0.0
quantity,0.19008264462809918
quantityNature,0.0
redefinesProperty,0.008264462809917356
Relation,0.9917355371900827
relationEnd,0.9917355371900827
relator,0.7603305785123967
relatorNature,0.0
restrictedTo,0.9834710743801653
role,0.6942148760330579
roleMixin,0.4462809917355372
shared,0.5619834710743802
situation,0.18181818181818182
situationNature,0.0
sourceEnd,0.9917355371900827
specific,0.9669421487603306
stereotype,1.0
subCollectionOf,0.049586776859504134
subkind,0.7272727272727273
subQuantityOf,0.03305785123966942
subsetsProperty,0.008264462809917356
targetEnd,0.9917355371900827
termination,0.024793388429752067
triggers,0.08264462809917356
type,0.21487603305785125
typeNature,0.0
upperBound,0.9256198347107438
