stereotype,total_correlation,rank
category,3.4453539955134156,11
collective,3.2965495330079717,12
datatype,3.012772009257308,15
event,3.7538636874182085,6
kind,4.008111599926409,3
mixin,3.2311253445077703,13
mode,3.8485322749339907,4
phase,2.8660274238187022,19
quality,3.661177522254393,7
relator,3.006228052150968,16
role,2.782939890264198,20
roleMixin,4.330965131635961,1
situation,2.976460811551418,17
subkind,3.562674461710751,9
characterization,4.112163017683258,2
componentOf,3.1215440001763977,14
derivation,3.530942383415005,10
material,3.6084053366652125,8
mediation,3.811122945787009,5
memberOf,2.870799801096265,18
