Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.044285547819649086,0.16165344223858152,0.07346974152433425,0.045672355471773514,0.25327566630925386,0.12914876498496883,0.2426715895682852,0.1050559050325501,0.12133298122579549,0.20886953595723415,0.26319032936854647,0.09116116006251108,0.27859971865986843
collective,0.044285547819649086,1.0,0.06259840164218443,0.05875426408800894,0.19104977603055823,0.028530254910726225,0.3182588804985125,0.0706947325180402,0.22565395530715882,0.0684290486428177,0.050998942483905615,0.28105943217205315,0.20911004124078866,0.0
datatype,0.16165344223858152,0.06259840164218443,1.0,0.0989153879313826,0.04230030711908398,0.0700854462706013,0.02351732591091042,0.14197672662647096,0.08412648228335474,0.09783415712467435,0.06070877039520269,0.19551755831096898,0.018050348128687308,0.10304895467587634
event,0.07346974152433425,0.05875426408800894,0.0989153879313826,1.0,0.23210703578452171,0.16340526676365483,0.01935014287299837,0.13051256649806028,0.0324719771886178,0.15094405008297004,0.23936045335990858,0.547110102394526,0.0695482691887235,0.3574862736435552
kind,0.045672355471773514,0.19104977603055823,0.04230030711908398,0.23210703578452171,1.0,0.005093414289228367,0.27801897208606785,0.13274396868505217,0.3198347201408041,0.36486157588724916,0.19388805265455183,0.21445675308051393,0.49538432054231424,0.3221371066123833
mode,0.25327566630925386,0.028530254910726225,0.0700854462706013,0.16340526676365483,0.005093414289228367,1.0,0.04139581357848134,0.2664606336166621,0.10524915683717344,0.10206202433807007,0.10870340990054114,0.060124570460325544,0.10954641986767699,0.2369444470242568
phase,0.12914876498496883,0.3182588804985125,0.02351732591091042,0.01935014287299837,0.27801897208606785,0.04139581357848134,1.0,0.039628855281750835,0.11289525991344325,0.2617513003781287,0.05816966150595783,0.09587290566720927,0.30339892725375095,0.12069214429395875
quality,0.2426715895682852,0.0706947325180402,0.14197672662647096,0.13051256649806028,0.13274396868505217,0.2664606336166621,0.039628855281750835,1.0,0.18845916128915857,0.04148343500931701,0.035757561879804896,0.18947886987735374,0.24670824324169083,0.1663611663016366
relator,0.1050559050325501,0.22565395530715882,0.08412648228335474,0.0324719771886178,0.3198347201408041,0.10524915683717344,0.11289525991344325,0.18845916128915857,1.0,0.215815611522491,0.11011201534746166,0.18623909153058738,0.3096514763992352,0.006809563830727307
role,0.12133298122579549,0.0684290486428177,0.09783415712467435,0.15094405008297004,0.36486157588724916,0.10206202433807007,0.2617513003781287,0.04148343500931701,0.215815611522491,1.0,0.023983057800470216,0.21991749039518935,0.05634195659700169,0.2193026589843384
roleMixin,0.20886953595723415,0.050998942483905615,0.06070877039520269,0.23936045335990858,0.19388805265455183,0.10870340990054114,0.05816966150595783,0.035757561879804896,0.11011201534746166,0.023983057800470216,1.0,0.180413805198787,0.13082243500442456,0.3397788541574215
situation,0.26319032936854647,0.28105943217205315,0.19551755831096898,0.547110102394526,0.21445675308051393,0.060124570460325544,0.09587290566720927,0.18947886987735374,0.18623909153058738,0.21991749039518935,0.180413805198787,1.0,0.07475723527745613,0.10412301323115002
subkind,0.09116116006251108,0.20911004124078866,0.018050348128687308,0.0695482691887235,0.49538432054231424,0.10954641986767699,0.30339892725375095,0.24670824324169083,0.3096514763992352,0.05634195659700169,0.13082243500442456,0.07475723527745613,1.0,0.10157543516769484
type,0.27859971865986843,0.0,0.10304895467587634,0.3574862736435552,0.3221371066123833,0.2369444470242568,0.12069214429395875,0.1663611663016366,0.006809563830727307,0.2193026589843384,0.3397788541574215,0.10412301323115002,0.10157543516769484,1.0
