Stereotype,category,collective,datatype,enumeration,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.056331461235482945,0.1677316328589387,-0.0358868873442962,0.11437479384676373,0.022666549620576733,0.2420067335643765,-0.2517264522785793,0.256903660970977,-0.17120297625727274,-0.22150539994788448,0.2252666869817574,0.2773972870680158,0.0653572529713186,0.37046600280551667
collective,0.056331461235482945,1.0,0.06917858373624426,0.10082047748878094,0.05347913853392475,0.26236040190601256,0.025338050215309056,0.27578116248385753,-0.07742473580256284,0.21999828069524435,0.09075746041293625,-0.07995364094866335,-0.27848828797723213,0.15265361373193775,0.0211435343038412
datatype,0.1677316328589387,0.06917858373624426,1.0,0.3315508346809177,0.1029212774757716,0.05239807634652331,-0.07295600235221705,-0.05848537392072898,0.12529462493610583,-0.07361097955249034,-0.23964309631260833,-0.05128606148599065,0.17169340757216578,0.006178603074229407,0.1104496437626528
enumeration,-0.0358868873442962,0.10082047748878094,0.3315508346809177,1.0,0.027245305184339312,0.23568280579477568,-0.0999804013326325,0.15784881224961103,0.0546751727220715,0.12045604329090798,0.045612320336368514,0.06288042200750805,0.0379149916645948,0.06231515266528409,0.1506351235627471
event,0.11437479384676373,0.05347913853392475,0.1029212774757716,0.027245305184339312,1.0,-0.26083124666546753,0.16508400910638246,0.014477345814642339,0.1703353001391061,0.017643976964796918,-0.21379077938632152,0.275607561143174,0.544934671314451,-0.0697596543871877,0.3888078887411958
kind,0.022666549620576733,0.26236040190601256,0.05239807634652331,0.23568280579477568,-0.26083124666546753,1.0,-0.00044652087040889264,0.2559982244796481,0.150937476818613,0.3812159550027109,0.26621822296803216,-0.25171510848205725,-0.22049137043123224,0.5240939937558499,-0.2843560368654983
mode,0.2420067335643765,0.025338050215309056,-0.07295600235221705,-0.0999804013326325,0.16508400910638246,-0.00044652087040889264,1.0,-0.04096437639947179,0.25939385930549186,0.0647745924747963,0.09380300959243401,0.07390480870338513,-0.08415124940903931,0.13375528920213664,0.2435716011867171
phase,-0.2517264522785793,0.27578116248385753,-0.05848537392072898,0.15784881224961103,0.014477345814642339,0.2559982244796481,-0.04096437639947179,1.0,0.06072166217965565,0.23560417561109154,0.3342168076642826,-0.06922973755293685,-0.11918505248419868,0.2730376241994281,-0.11780606008002878
quality,0.256903660970977,-0.07742473580256284,0.12529462493610583,0.0546751727220715,0.1703353001391061,0.150937476818613,0.25939385930549186,0.06072166217965565,1.0,0.16980304710358504,0.012918032759463495,0.03382866176305574,0.18300989646231938,0.3376180374834288,0.14249498090657547
relator,-0.17120297625727274,0.21999828069524435,-0.07361097955249034,0.12045604329090798,0.017643976964796918,0.3812159550027109,0.0647745924747963,0.23560417561109154,0.16980304710358504,1.0,0.34414603385293974,0.10735627998287574,-0.21753783404042681,0.3615572040063688,0.00023606626687508862
role,-0.22150539994788448,0.09075746041293625,-0.23964309631260833,0.045612320336368514,-0.21379077938632152,0.26621822296803216,0.09380300959243401,0.3342168076642826,0.012918032759463495,0.34414603385293974,1.0,0.016319507508371408,-0.2542073635134172,0.0781069718135152,-0.23234879404546419
roleMixin,0.2252666869817574,-0.07995364094866335,-0.05128606148599065,0.06288042200750805,0.275607561143174,-0.25171510848205725,0.07390480870338513,-0.06922973755293685,0.03382866176305574,0.10735627998287574,0.016319507508371408,1.0,0.21104653289463593,-0.16326201525537196,0.39316728927430566
situation,0.2773972870680158,-0.27848828797723213,0.17169340757216578,0.0379149916645948,0.544934671314451,-0.22049137043123224,-0.08415124940903931,-0.11918505248419868,0.18300989646231938,-0.21753783404042681,-0.2542073635134172,0.21104653289463593,1.0,-0.06419647185683101,0.14449256509659333
subkind,0.0653572529713186,0.15265361373193775,0.006178603074229407,0.06231515266528409,-0.0697596543871877,0.5240939937558499,0.13375528920213664,0.2730376241994281,0.3376180374834288,0.3615572040063688,0.0781069718135152,-0.16326201525537196,-0.06419647185683101,1.0,-0.08892626155006124
type,0.37046600280551667,0.0211435343038412,0.1104496437626528,0.1506351235627471,0.3888078887411958,-0.2843560368654983,0.2435716011867171,-0.11780606008002878,0.14249498090657547,0.00023606626687508862,-0.23234879404546419,0.39316728927430566,0.14449256509659333,-0.08892626155006124,1.0
