stereotype,total_correlation,rank
category,3.220562123838077,7
collective,3.099760301858243,11
datatype,3.1782925701576055,9
enumeration,1.9617107986750444,19
event,3.907361868320704,3
kind,3.025007582322468,13
mixin,4.26160593737602,1
mode,4.153408841344861,2
phase,3.137253013352665,10
quality,2.7855080162665224,15
quantity,3.771297472587703,5
relator,2.1056103853338106,18
role,2.5917232510246135,16
roleMixin,3.2137557205104956,8
situation,3.3164413798905565,6
subkind,3.0986649588844077,12
type,3.8194181525437614,4
none,2.8171840997528133,14
other,2.4742780872680386,17
