Stereotype,category,collective,event,kind,mixin,mode,phase,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.24967995792281178,0.05849636774957285,0.16014943278495886,0.3180499060624783,0.4790806957791458,0.3904835115254531,0.06660427887080765,0.14851467627035883,0.4347007131955777,0.5465630174054658,0.4167337366103182,0.017226067359407505,0.11966168118086169
collective,0.24967995792281178,1.0,0.36565092828568685,0.17847950857674053,0.31119774851845705,0.4076348739004326,0.16080123184051232,0.16627311612559145,0.10779779702674269,0.0,0.11668805135304544,0.22149984136773596,0.17616827112165115,0.1173641027185452
event,0.05849636774957285,0.36565092828568685,1.0,0.3596486385426777,0.028118698790246435,0.16199683688967492,0.07187075568344871,0.37301347086683695,0.04226752988631614,0.29524616345083726,0.025825633671973092,0.255162600953875,0.46202225164467114,0.38301723292894885
kind,0.16014943278495886,0.17847950857674053,0.3596486385426777,1.0,0.05525343900868911,0.02675831152482431,0.16386145478601138,0.13316370096240032,0.4743589690829171,0.09896075422818702,0.3253766020063766,0.060229730988346136,0.02587510687886222,0.03982686855071303
mixin,0.3180499060624783,0.31119774851845705,0.028118698790246435,0.05525343900868911,1.0,0.41371026209347045,0.4333771941731185,0.12481421283308182,0.4278461719077848,0.2271225583986541,0.1421210932176908,0.5135263531412998,0.055013343497123376,0.01590553944070975
mode,0.4790806957791458,0.4076348739004326,0.16199683688967492,0.02675831152482431,0.41371026209347045,1.0,0.22772218339158917,0.20536248209671654,0.10608015709624735,0.49114511850131853,0.27672511704984154,0.3854625176931355,0.27386372592490954,0.11329836372758656
phase,0.3904835115254531,0.16080123184051232,0.07187075568344871,0.16386145478601138,0.4333771941731185,0.22772218339158917,1.0,0.0971126005833384,0.3143881188651824,0.34494902162593405,0.3568408491984646,0.1731261112797565,0.04734786640050615,0.0329669528219248
relator,0.06660427887080765,0.16627311612559145,0.37301347086683695,0.13316370096240032,0.12481421283308182,0.20536248209671654,0.0971126005833384,1.0,0.2325297683581272,0.30471325909625496,0.11095832647160794,0.21454768885027364,0.16791613853727336,0.03297879355050598
role,0.14851467627035883,0.10779779702674269,0.04226752988631614,0.4743589690829171,0.4278461719077848,0.10608015709624735,0.3143881188651824,0.2325297683581272,1.0,0.0,0.1316566761004268,0.3003038067061338,0.057756443808668956,0.07134030216663474
roleMixin,0.4347007131955777,0.0,0.29524616345083726,0.09896075422818702,0.2271225583986541,0.49114511850131853,0.34494902162593405,0.30471325909625496,0.0,1.0,0.1760006510152873,0.3365156095578573,0.20320206533762475,0.013944526308676583
subkind,0.5465630174054658,0.11668805135304544,0.025825633671973092,0.3253766020063766,0.1421210932176908,0.27672511704984154,0.3568408491984646,0.11095832647160794,0.1316566761004268,0.1760006510152873,1.0,0.3256823076561158,0.03446348466663544,0.1182094946434928
type,0.4167337366103182,0.22149984136773596,0.255162600953875,0.060229730988346136,0.5135263531412998,0.3854625176931355,0.1731261112797565,0.21454768885027364,0.3003038067061338,0.3365156095578573,0.3256823076561158,1.0,0.26737090273138014,0.18908370799996055
none,0.017226067359407505,0.17616827112165115,0.46202225164467114,0.02587510687886222,0.055013343497123376,0.27386372592490954,0.04734786640050615,0.16791613853727336,0.057756443808668956,0.20320206533762475,0.03446348466663544,0.26737090273138014,1.0,0.049901660396243955
other,0.11966168118086169,0.1173641027185452,0.38301723292894885,0.03982686855071303,0.01590553944070975,0.11329836372758656,0.0329669528219248,0.03297879355050598,0.07134030216663474,0.013944526308676583,0.1182094946434928,0.18908370799996055,0.049901660396243955,1.0
