Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,10.820895522388058
relator,28,2,57,21.26865671641791
category,27,3,84,31.343283582089555
subkind,27,4,111,41.417910447761194
role,26,5,137,51.11940298507462
roleMixin,19,6,156,58.2089552238806
mode,17,7,173,64.55223880597015
event,16,8,189,70.52238805970148
collective,12,9,201,75.0
mixin,9,10,210,78.35820895522389
phase,9,11,219,81.71641791044776
other,9,12,228,85.07462686567165
type,8,13,236,88.05970149253731
none,7,14,243,90.67164179104478
datatype,6,15,249,92.91044776119402
situation,6,16,255,95.1492537313433
quantity,5,17,260,97.01492537313433
enumeration,4,18,264,98.50746268656717
quality,4,19,268,100.0
historicalRole,0,20,268,100.0
abstract,0,21,268,100.0
phaseMixin,0,22,268,100.0
historicalRoleMixin,0,23,268,100.0
