Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.1839638565299368,-0.0418765756358005,-0.15922171574040855,0.07422696190252055,0.053875681986269665,0.21909444007749662,0.4575872718366363,0.35557950110937975,0.029854071701326604,0.07679425377272005,0.013870839642941318,0.06570137733212028,0.4061811972299616,-0.0418765756358005,0.4882154882154882,0.32960882164869615,0.003939053763075926,0.21909444007749662
collective,0.1839638565299368,1.0,0.3268602252303067,-0.048545977336288584,-0.350033298449319,0.11213790227498134,0.28735337457963966,0.41349254254555623,0.15418961562809932,-0.048545977336288584,0.2379986484065753,0.14886628953921086,0.09615384615384616,0.0,-0.13891559572288037,0.05913123959890826,0.20464687117164013,-0.17678713907978466,-0.11213790227498134
datatype,-0.0418765756358005,0.3268602252303067,1.0,0.08663791001045901,0.06923896367587466,0.2412253203385038,0.4377792850587662,0.19097885354754401,-0.07147416898918632,0.08663791001045901,0.47193990372426947,-0.23289712627804457,-0.016343011261515338,-0.14433756729740643,0.20833333333333334,0.1172544117802414,0.13043729868748774,-0.20576372293827538,0.09827698236013119
enumeration,-0.15922171574040855,-0.048545977336288584,0.08663791001045901,1.0,-0.11883176892065872,0.19107892658954462,0.21230991843282734,0.03630667057931574,0.010615495921641366,0.16176470588235295,0.3738321088841869,0.010249000771134848,0.048545977336288584,0.0,0.08663791001045901,0.029854071701326604,0.03321055820775357,-0.1629891557608532,-0.19107892658954462
event,0.07422696190252055,-0.350033298449319,0.06923896367587466,-0.11883176892065872,1.0,-0.4025021877529887,0.026393586082163193,0.1974661233610029,-0.09897594780811197,0.05484543180953479,-0.016597653257732305,-0.3376412643274269,-0.22329710418318627,0.31980107453341566,0.5077524002897476,0.07422696190252055,0.21331172949323238,0.4197172228182792,0.4025021877529887
kind,0.053875681986269665,0.11213790227498134,0.2412253203385038,0.19107892658954462,-0.4025021877529887,1.0,0.019157088122605363,0.0032760131644363746,0.16475095785440613,-0.41400434094401334,0.21684543705982773,-0.051787955522155454,0.42051713353118003,-0.18569533817705186,-0.26802813370944867,0.1903607430181528,-0.015982110049512808,-0.054625224104784945,0.019157088122605363
mixin,0.21909444007749662,0.28735337457963966,0.4377792850587662,0.21230991843282734,0.026393586082163193,0.019157088122605363,1.0,0.3701894875813103,0.41762452107279696,0.41400434094401334,0.5156102614533682,0.051787955522155454,0.378465420178062,0.18569533817705186,0.09827698236013119,0.08260937904561348,0.4714722464606278,0.054625224104784945,-0.019157088122605363
mode,0.4575872718366363,0.41349254254555623,0.19097885354754401,0.03630667057931574,0.1974661233610029,0.0032760131644363746,0.3701894875813103,1.0,0.2457009873327281,-0.13615001467243404,0.2760569736087841,0.17712297710801905,0.04194851880896947,0.47633051162246687,-0.09930900384472288,0.34088716224071564,0.314302690314802,0.2550905520912703,0.12121248708414586
phase,0.35557950110937975,0.15418961562809932,-0.07147416898918632,0.010615495921641366,-0.09897594780811197,0.16475095785440613,0.41762452107279696,0.2457009873327281,1.0,0.010615495921641366,0.3324963368250692,0.051787955522155454,0.24530166122652167,0.30949223029508643,-0.07147416898918632,0.35557950110937975,0.16781215551988446,0.054625224104784945,-0.019157088122605363
quality,0.029854071701326604,-0.048545977336288584,0.08663791001045901,0.16176470588235295,0.05484543180953479,-0.41400434094401334,0.41400434094401334,-0.13615001467243404,0.010615495921641366,1.0,0.12016032071277435,0.010249000771134848,0.048545977336288584,0.17149858514250882,0.3217979514674192,-0.15922171574040855,0.2435440935235262,-0.1629891557608532,-0.19107892658954462
quantity,0.07679425377272005,0.2379986484065753,0.47193990372426947,0.3738321088841869,-0.016597653257732305,0.21684543705982773,0.5156102614533682,0.2760569736087841,0.3324963368250692,0.12016032071277435,1.0,0.055829052623908255,0.26444294267397256,-0.0778498944161523,0.2584432806109095,0.07679425377272005,0.18090680674665818,-0.18496783160654653,-0.033731512431528755
relator,0.013870839642941318,0.14886628953921086,-0.23289712627804457,0.010249000771134848,-0.3376412643274269,-0.051787955522155454,0.051787955522155454,0.17712297710801905,0.051787955522155454,0.010249000771134848,0.055829052623908255,1.0,0.10826639239215335,0.23904572186687872,-0.06900655593423542,-0.1179021369650012,0.16201851746019652,-0.17850229076336324,-0.08877935232369506
role,0.06570137733212028,0.09615384615384616,-0.016343011261515338,0.048545977336288584,-0.22329710418318627,0.42051713353118003,0.378465420178062,0.04194851880896947,0.24530166122652167,0.048545977336288584,0.26444294267397256,0.10826639239215335,1.0,0.0,-0.17160161824591105,0.06570137733212028,0.2119556879991987,0.030745589405179942,-0.15418961562809932
roleMixin,0.4061811972299616,0.0,-0.14433756729740643,0.0,0.31980107453341566,-0.18569533817705186,0.18569533817705186,0.47633051162246687,0.30949223029508643,0.17149858514250882,-0.0778498944161523,0.23904572186687872,0.0,1.0,0.0,0.17407765595569782,0.25819888974716115,0.2036532699906392,-0.06189844605901729
situation,-0.0418765756358005,-0.13891559572288037,0.20833333333333334,0.08663791001045901,0.5077524002897476,-0.26802813370944867,0.09827698236013119,-0.09930900384472288,-0.07147416898918632,0.3217979514674192,0.2584432806109095,-0.06900655593423542,-0.17160161824591105,0.0,1.0,-0.20100756305184242,0.13043729868748774,-0.20576372293827538,0.4377792850587662
