Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.41286067600989285,2,0.2126865671641791
20.0,4,0.6837592745259686,4,0.4141791044776119
30.0,6,0.7915910964550701,6,0.582089552238806
40.0,9,0.9050288540807915,9,0.75
50.0,11,0.9505358615004122,11,0.8171641791044776
60.0,13,0.9732893652102226,13,0.8805970149253731
70.0,16,0.9934047815333883,16,0.9514925373134329
80.0,18,0.998351195383347,18,0.9850746268656716
90.0,20,1.0,20,1.0
100.0,23,1.0,23,1.0
