Group,Max Occurrences,Min Occurrences,Min Non-zero Occurrences,Range,Range Non-zero,Median Occurrences,Mode Occurrences,Standard Deviation,Variance,Q1,Q2,Q3,IQR,Skewness,Kurtosis
sortal,3391,0,1,3391,3390,24.0,19,309.1809610352272,95592.86666666668,14.0,24.0,45.0,31.0,10.531125814786774,113.82600452671771
non_sortal,354,0,1,354,353,4.0,0,33.59963391837827,1128.9353994490355,1.0,4.0,9.0,8.0,9.139516338308713,92.7481769944769
rigid,2306,0,1,2306,2305,19.0,12,210.48960372958308,44305.87327823691,12.0,19.0,39.0,27.0,10.398902255706307,111.93034454029201
non_rigid,1417,0,1,1417,1416,8.0,0,130.21703487178203,16956.4761707989,2.0,8.0,13.0,11.0,10.425456322516162,111.79055919816174
abstracts,29,0,1,29,28,0.0,0,3.704791774670192,13.725482093663913,0.0,0.0,1.0,1.0,4.999885169763181,30.055362741118152
temporal,81,0,1,81,80,0.0,0,9.751364953548824,95.08911845730027,0.0,0.0,6.0,6.0,4.553117783412862,30.6815987424512
rigid_sortal,2208,0,2,2208,2206,17.0,10,201.51913313450845,40609.96101928374,10.0,17.0,36.0,26.0,10.438904719480826,112.53335236520604
rigid_non_sortal,98,0,1,98,97,2.0,0,10.769798860383277,115.98856749311295,0.0,2.0,5.0,5.0,6.099876781030716,47.709711761028096
non_rigid_sortal,1161,0,1,1161,1160,4.0,0,107.11613635053621,11473.866666666665,0.0,4.0,11.0,11.0,10.360100932482743,110.58381890961331
non_rigid_non_sortal,256,0,1,256,255,1.0,0,24.13429198436898,582.4640495867768,0.0,1.0,3.0,3.0,9.528734526816809,98.40189177326907
