year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
2005,0.00000,0.09091,0.09091,0.09091,0.00000,0.00000,0.00000,0.00000,0.09091,0.09091,0.09091,0.09091,0.00000,0.00000,0.09091,0.09091,0.09091,0.00000,0.00000,0.09091,0.00000
2007,0.00000,0.14286,0.00000,0.14286,0.00000,0.14286,0.00000,0.00000,0.14286,0.00000,0.14286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14286,0.00000,0.14286,0.00000
2011,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000
2012,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.20000,0.00000,0.00000,0.20000,0.00000
2013,0.00000,0.00000,0.25000,0.12500,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.12500,0.00000,0.00000,0.12500,0.00000
2014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33333,0.33333,0.00000,0.00000,0.00000,0.00000
2015,0.00000,0.09333,0.05333,0.02667,0.04000,0.04000,0.00000,0.00000,0.10667,0.05333,0.06667,0.05333,0.00000,0.01333,0.02667,0.09333,0.09333,0.09333,0.02667,0.08000,0.04000
2016,0.00000,0.11538,0.07692,0.03846,0.00000,0.07692,0.00000,0.00000,0.03846,0.07692,0.07692,0.00000,0.00000,0.03846,0.03846,0.15385,0.07692,0.07692,0.03846,0.03846,0.03846
2017,0.00000,0.10000,0.00000,0.00000,0.00000,0.12000,0.00000,0.00000,0.14000,0.02000,0.06000,0.04000,0.00000,0.00000,0.02000,0.08000,0.16000,0.08000,0.02000,0.12000,0.04000
2018,0.00000,0.12069,0.05172,0.00000,0.01724,0.06897,0.00000,0.00000,0.08621,0.01724,0.08621,0.01724,0.00000,0.03448,0.00000,0.13793,0.06897,0.08621,0.03448,0.13793,0.03448
2019,0.00000,0.07843,0.05882,0.01961,0.00000,0.05882,0.01961,0.00000,0.13725,0.01961,0.03922,0.07843,0.00000,0.05882,0.01961,0.13725,0.07843,0.01961,0.01961,0.13725,0.01961
2020,0.00000,0.09000,0.02000,0.04000,0.00000,0.06000,0.01000,0.00000,0.15000,0.02000,0.04000,0.05000,0.02000,0.05000,0.02000,0.09000,0.12000,0.08000,0.03000,0.09000,0.02000
2021,0.00746,0.10448,0.02239,0.03731,0.00746,0.06716,0.00000,0.00746,0.10448,0.01493,0.09701,0.04478,0.00746,0.08209,0.01493,0.10448,0.07463,0.03731,0.02985,0.10448,0.02985
2022,0.00000,0.10145,0.04348,0.04348,0.01449,0.06522,0.00725,0.01449,0.09420,0.00725,0.05797,0.04348,0.02174,0.05072,0.01449,0.10870,0.07971,0.07246,0.01449,0.08696,0.05797
2023,0.00000,0.09489,0.04380,0.02190,0.00730,0.03650,0.00000,0.00000,0.12409,0.03650,0.08759,0.05109,0.01460,0.06569,0.00000,0.09489,0.10949,0.07299,0.02190,0.10219,0.01460
2024,0.00000,0.09259,0.05556,0.01852,0.00000,0.09259,0.01852,0.00000,0.11111,0.03704,0.03704,0.07407,0.00000,0.09259,0.00000,0.09259,0.11111,0.01852,0.03704,0.09259,0.01852
