year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
2005,0.0000000,0.1627907,0.0232558,0.0465116,0.0000000,0.0000000,0.0000000,0.0000000,0.2093023,0.0465116,0.0930233,0.0930233,0.0000000,0.0000000,0.0232558,0.0697674,0.1627907,0.0000000,0.0000000,0.0697674,0.0000000
2007,0.0000000,0.1875000,0.0000000,0.0625000,0.0000000,0.1250000,0.0000000,0.0000000,0.2500000,0.0000000,0.0625000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0625000,0.0000000,0.2500000,0.0000000
2011,0.0000000,0.2666667,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3333333,0.0000000,0.0000000,0.2000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2000000,0.0000000
2012,0.0000000,0.0948276,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3275862,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.1379310,0.0775862,0.0000000,0.0000000,0.3620690,0.0000000
2013,0.0000000,0.0000000,0.1636364,0.0545455,0.0000000,0.0000000,0.0000000,0.0000000,0.2000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0363636,0.0545455,0.0000000,0.0000000,0.4909091,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4117647,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2941176,0.2941176,0.0000000,0.0000000,0.0000000,0.0000000
2015,0.0000000,0.0425084,0.0107323,0.0006313,0.0048401,0.0039983,0.0000000,0.0000000,0.1153199,0.0115741,0.0498737,0.0254630,0.0000000,0.0004209,0.0054714,0.1778199,0.2832492,0.0608165,0.0012626,0.1837121,0.0223064
2016,0.0000000,0.2091837,0.0204082,0.0051020,0.0000000,0.0357143,0.0000000,0.0000000,0.0459184,0.0459184,0.1122449,0.0000000,0.0000000,0.0357143,0.0153061,0.0969388,0.0714286,0.0459184,0.0051020,0.2091837,0.0459184
2017,0.0000000,0.0544872,0.0000000,0.0000000,0.0000000,0.3205128,0.0000000,0.0000000,0.1378205,0.0032051,0.0448718,0.0224359,0.0000000,0.0000000,0.0096154,0.0480769,0.1666667,0.0384615,0.0128205,0.0737179,0.0673077
2018,0.0000000,0.1120332,0.0207469,0.0000000,0.0082988,0.1078838,0.0000000,0.0000000,0.1410788,0.0041494,0.0746888,0.0082988,0.0000000,0.0165975,0.0000000,0.1244813,0.0373444,0.1286307,0.0248963,0.1784232,0.0124481
2019,0.0000000,0.0726073,0.0297030,0.0198020,0.0000000,0.0495050,0.0561056,0.0000000,0.1518152,0.0033003,0.0429043,0.0429043,0.0000000,0.0462046,0.0033003,0.1155116,0.1023102,0.0132013,0.0264026,0.2046205,0.0198020
2020,0.0000000,0.0506536,0.0049020,0.0130719,0.0000000,0.0228758,0.0032680,0.0000000,0.3676471,0.0049020,0.0277778,0.0375817,0.0049020,0.0326797,0.0049020,0.0539216,0.0964052,0.0980392,0.0261438,0.1437908,0.0065359
2021,0.0010823,0.0649351,0.0075758,0.0151515,0.0021645,0.0768398,0.0000000,0.0043290,0.2056277,0.0021645,0.0746753,0.0335498,0.0075758,0.0357143,0.0032468,0.0465368,0.0898268,0.0173160,0.0140693,0.2846320,0.0129870
2022,0.0000000,0.0821355,0.0225873,0.0297741,0.0164271,0.1355236,0.0030801,0.0051335,0.1160164,0.0010267,0.0225873,0.0554415,0.0071869,0.0164271,0.0041068,0.0718686,0.0882957,0.0934292,0.0082136,0.1827515,0.0379877
2023,0.0000000,0.0548986,0.0143581,0.0143581,0.0168919,0.0337838,0.0000000,0.0000000,0.1942568,0.0050676,0.0988176,0.0405405,0.0025338,0.0912162,0.0000000,0.0498311,0.0979730,0.0228041,0.0109797,0.2423986,0.0092905
2024,0.0000000,0.0263736,0.0087912,0.0087912,0.0000000,0.1054945,0.0021978,0.0000000,0.1626374,0.0065934,0.0197802,0.0571429,0.0000000,0.1032967,0.0000000,0.1582418,0.0549451,0.0791209,0.0087912,0.1890110,0.0087912
