Group,DistanceFromOrigin,Rank
sortal,3553.1400197571725,1
rigid,3144.317095968535,2
rigid_sortal,2847.3601809395313,3
non_rigid,943.3138396101268,4
non_rigid_sortal,632.5582977085985,5
non_sortal,612.4867345502269,6
temporal,447.8805644365471,7
non_rigid_non_sortal,314.5313974788527,8
rigid_non_sortal,304.2449670906653,9
undef,205.65018842685265,10
none,152.8397853963424,11
abstracts,121.2023102090055,12
other,53.36665625650534,13
