Group,DistanceFromOrigin,Rank
sortal,3552.209823670325,1
rigid,3143.1856632308086,2
rigid_sortal,2846.1681188529687,3
non_rigid,940.0555276605028,4
non_rigid_sortal,629.0371562749534,5
non_sortal,608.035915763389,6
temporal,446.0263461027492,7
non_rigid_non_sortal,311.0183713855493,8
rigid_non_sortal,297.01754437783967,9
undef,204.01205068376868,10
none,152.00897894084724,11
abstracts,119.00702956553172,12
other,52.00307174292143,13
