Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2023,1,2023,18.897711349836523
role,1845,2,3868,36.13264829518916
kind,1586,3,5454,50.94815506772537
relator,1247,4,6701,62.59691732835124
category,582,5,7283,68.03362914525923
roleMixin,576,6,7859,73.41429238673517
mode,543,7,8402,78.48668846333489
event,474,8,8876,82.91452592246614
none,380,9,9256,86.46426903316208
phase,332,10,9588,89.56562354040169
quality,251,11,9839,91.91032227930873
type,213,12,10052,93.90004670714619
collective,132,13,10184,95.1331153666511
other,110,14,10294,96.16067258290518
datatype,88,15,10382,96.98271835590846
mixin,84,16,10466,97.76739841195703
situation,79,17,10545,98.50537132181223
enumeration,63,18,10608,99.09388136384867
quantity,44,19,10652,99.50490425035031
historicalRole,23,20,10675,99.7197571228398
phaseMixin,20,21,10695,99.90658570761326
historicalRoleMixin,9,22,10704,99.99065857076133
abstract,1,23,10705,100.0
