Construct,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9917355371900827,1.0
category,5.341971819721907,0.7181846582034024,0.04935581771589849
collective,3.8960747058263783,0.8821687953919359,0.15381083562901743
datatype,4.271825395561975,0.8749060856498873,0.06611570247933884
enumeration,2.54194659740075,0.9626131444313263,0.20836482741244644
event,5.007403941985895,0.7862398437772431,0.051496377005109575
historicalRole,1.2087030023114833,0.9845490477901545,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9807162534435262,0.4074074074074074
kind,5.132521262825938,0.6895876106010235,0.0890738476168365
mixin,3.048799642657264,0.935064935064935,0.23356009070294784
mode,4.349931943732891,0.840844405887098,0.12113658177575638
phase,4.210859664762059,0.8573633376481131,0.1261794164610248
phaseMixin,2.7016094855174675,0.9553719008264463,0.19
quality,4.806842571155217,0.8184781535016957,0.051284900239678737
quantity,2.7273179784030344,0.9541697971450037,0.2458677685950413
relator,3.235885490114947,0.8483964821356379,0.37369880174326964
role,3.164533522812228,0.8609196174606374,0.34317991201592235
roleMixin,3.9422101689897655,0.8753443526170799,0.1653585551697531
situation,4.128925812461202,0.8825190919552255,0.06841852267264861
subkind,4.363326096511081,0.8092065216947255,0.16068084062446472
type,3.717397138671072,0.9146005509641874,0.1232780092133395
none,3.393201839574891,0.9346672466289692,0.13414127423822714
other,3.9419244852690034,0.9002253944402705,0.07570247933884297
