Percentage,Top k Constructs,Coverage
10.0,2,0.21145374449339208
20.0,4,0.40308370044052866
30.0,6,0.5594713656387665
40.0,9,0.7257709251101322
50.0,11,0.8094713656387665
60.0,13,0.8667400881057269
70.0,16,0.9394273127753304
80.0,18,0.973568281938326
90.0,20,0.9911894273127754
100.0,23,1.0
