year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,16,4,5,0.04295704295704296,43,0.04295704295704296,0.048152295632698766,43,0.048152295632698766,0.0,0,0.0,0.0,0,0.0,0.027808676307007785,25,0.027808676307007785,0.053691275167785234,16,0.053691275167785234,0.007722007722007722,4,0.007722007722007722,0.060240963855421686,5,0.060240963855421686,0.04295704295704296,0.0,0.0,0.017797552836484983,0.004449388209121246,0.0055617352614015575,0.04295704295704296,0.0,0.0,0.017797552836484983,0.004449388209121246,0.0055617352614015575
2007,20,16,0,4,20,0,20,0,0.01998001998001998,63,0.06293706293706294,0.01791713325867861,59,0.06606942889137737,0.0,0,0.0,0.07272727272727272,4,0.07272727272727272,0.02224694104560623,45,0.05005561735261402,0.0,16,0.053691275167785234,0.03861003861003861,24,0.04633204633204633,0.0,5,0.060240963855421686,0.015984015984015984,0.0,0.003996003996003996,0.0,0.02224694104560623,0.0,0.058941058941058944,0.0,0.003996003996003996,0.017797552836484983,0.026696329254727477,0.0055617352614015575
2011,15,15,0,0,7,2,0,5,0.014985014985014986,78,0.07792207792207792,0.0167973124300112,74,0.08286674132138858,0.0,0,0.0,0.0,4,0.07272727272727272,0.00778642936596218,52,0.05784204671857619,0.006711409395973154,18,0.06040268456375839,0.0,24,0.04633204633204633,0.060240963855421686,10,0.12048192771084337,0.014985014985014986,0.0,0.0,0.002224694104560623,0.0,0.0055617352614015575,0.07392607392607392,0.0,0.003996003996003996,0.020022246941045607,0.026696329254727477,0.011123470522803115
2012,116,116,0,0,60,27,28,5,0.11588411588411589,194,0.1938061938061938,0.12989921612541994,190,0.2127659574468085,0.0,0,0.0,0.0,4,0.07272727272727272,0.06674082313681869,112,0.12458286985539488,0.09060402684563758,45,0.15100671140939598,0.05405405405405406,52,0.10038610038610038,0.060240963855421686,15,0.18072289156626506,0.11588411588411589,0.0,0.0,0.030033370411568408,0.03114571746384872,0.0055617352614015575,0.18981018981018982,0.0,0.003996003996003996,0.05005561735261402,0.05784204671857619,0.01668520578420467
2013,55,55,0,0,33,30,0,3,0.054945054945054944,249,0.24875124875124874,0.06159014557670773,245,0.27435610302351626,0.0,0,0.0,0.0,4,0.07272727272727272,0.03670745272525028,145,0.16129032258064516,0.10067114093959731,75,0.2516778523489933,0.0,52,0.10038610038610038,0.03614457831325301,18,0.21686746987951808,0.054945054945054944,0.0,0.0,0.03337041156840934,0.0,0.0033370411568409346,0.24475524475524477,0.0,0.003996003996003996,0.08342602892102335,0.05784204671857619,0.020022246941045607
2014,30,17,7,6,26,13,13,0,0.029970029970029972,279,0.2787212787212787,0.019036954087346025,262,0.2933930571108623,0.1320754716981132,7,0.1320754716981132,0.10909090909090909,10,0.18181818181818182,0.028921023359288096,171,0.19021134593993325,0.0436241610738255,88,0.2953020134228188,0.025096525096525095,65,0.12548262548262548,0.0,18,0.21686746987951808,0.016983016983016984,0.006993006993006993,0.005994005994005994,0.014460511679644048,0.014460511679644048,0.0,0.26173826173826176,0.006993006993006993,0.00999000999000999,0.09788654060066741,0.07230255839822025,0.020022246941045607
2015,104,104,0,0,66,37,20,9,0.1038961038961039,383,0.3826173826173826,0.11646136618141098,366,0.40985442329227323,0.0,7,0.1320754716981132,0.0,10,0.18181818181818182,0.07341490545050056,237,0.26362625139043383,0.12416107382550336,125,0.41946308724832215,0.03861003861003861,85,0.1640926640926641,0.10843373493975904,27,0.3253012048192771,0.1038961038961039,0.0,0.0,0.041156840934371525,0.02224694104560623,0.010011123470522803,0.36563436563436563,0.006993006993006993,0.00999000999000999,0.13904338153503892,0.09454949944382647,0.030033370411568408
2016,57,49,0,8,100,39,27,34,0.056943056943056944,440,0.43956043956043955,0.054871220604703244,415,0.46472564389697646,0.0,7,0.1320754716981132,0.14545454545454545,18,0.32727272727272727,0.11123470522803114,337,0.37486095661846497,0.13087248322147652,164,0.5503355704697986,0.052123552123552123,112,0.21621621621621623,0.40963855421686746,61,0.7349397590361446,0.04895104895104895,0.0,0.007992007992007992,0.04338153503893215,0.030033370411568408,0.03781979977753059,0.4145854145854146,0.006993006993006993,0.017982017982017984,0.18242491657397109,0.12458286985539488,0.067853170189099
2017,291,237,29,25,286,38,228,20,0.2907092907092907,731,0.7302697302697303,0.26539753639417696,652,0.7301231802911534,0.5471698113207547,36,0.6792452830188679,0.45454545454545453,43,0.7818181818181819,0.3181312569521691,623,0.692992213570634,0.12751677852348994,202,0.6778523489932886,0.44015444015444016,340,0.6563706563706564,0.24096385542168675,81,0.9759036144578314,0.23676323676323677,0.028971028971028972,0.024975024975024976,0.042269187986651836,0.25361512791991103,0.02224694104560623,0.6513486513486514,0.03596403596403597,0.04295704295704296,0.22469410456062291,0.3781979977753059,0.09010011123470522
2018,270,241,17,12,276,96,178,2,0.26973026973026976,1001,1.0,0.2698768197088466,893,1.0,0.32075471698113206,53,1.0,0.21818181818181817,55,1.0,0.30700778642936594,899,1.0,0.3221476510067114,298,1.0,0.3436293436293436,518,1.0,0.024096385542168676,83,1.0,0.24075924075924077,0.016983016983016984,0.011988011988011988,0.1067853170189099,0.19799777530589543,0.002224694104560623,0.8921078921078921,0.052947052947052944,0.054945054945054944,0.3314794215795328,0.5761957730812013,0.09232480533926585
